"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,10","8,39","8,53","6,90","402,00K","-15,48%"
"01.03.2024","8,40","8,08","8,75","7,95","550,80K","3,96%"
"01.02.2024","8,08","7,43","8,20","7,07","16,85M","8,02%"
"01.01.2024","7,48","8,18","8,20","7,17","17,15M","-8,78%"
"01.12.2023","8,20","6,79","8,20","6,63","17,17M","16,81%"
"01.11.2023","7,02","6,37","7,60","6,20","18,02M","10,55%"
"01.10.2023","6,35","6,20","6,66","5,63","20,65M","2,92%"
"01.09.2023","6,17","6,22","7,16","5,94","28,74M","-4,04%"
"01.08.2023","6,43","7,37","8,10","6,41","25,02M","-12,99%"
"01.07.2023","7,39","6,81","7,61","6,76","15,55M","8,52%"
"01.06.2023","6,81","6,40","6,98","6,24","23,62M","6,57%"
"01.05.2023","6,39","5,03","6,73","4,85","23,03M","26,53%"
"01.04.2023","5,05","4,41","5,11","4,26","14,86M","14,51%"
"01.03.2023","4,41","4,49","5,33","4,02","29,46M","-1,56%"
"01.02.2023","4,48","4,79","4,95","4,36","20,96M","-6,28%"
"01.01.2023","4,78","4,57","5,25","4,28","23,34M","4,37%"
"01.12.2022","4,58","5,29","5,60","4,48","24,88M","-13,58%"
"01.11.2022","5,30","6,48","6,60","4,96","29,44M","-17,40%"
"01.10.2022","6,42","6,81","7,29","5,83","18,29M","-4,35%"
"01.09.2022","6,71","5,79","6,82","5,76","30,35M","16,16%"
"01.08.2022","5,77","5,19","6,50","4,98","26,22M","11,24%"
"01.07.2022","5,19","4,24","5,20","4,19","22,95M","23,33%"
"01.06.2022","4,21","5,06","5,15","4,14","32,98M","-16,57%"
"01.05.2022","5,05","5,24","5,76","4,96","29,66M","-2,99%"
