"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","13,77","16,34","16,62","13,21","1,76M","-15,52%"
"01.03.2024","16,30","16,96","17,82","15,68","2,94M","-3,44%"
"01.02.2024","16,88","15,60","17,59","14,77","35,91M","9,33%"
"01.01.2024","15,44","18,71","18,90","15,07","40,89M","-17,43%"
"01.12.2023","18,70","18,39","19,37","17,38","37,23M","1,63%"
"01.11.2023","18,40","14,59","19,45","14,17","53,93M","28,04%"
"01.10.2023","14,37","18,82","18,87","13,96","49,15M","-23,65%"
"01.09.2023","18,82","22,03","23,47","18,51","39,58M","-14,61%"
"01.08.2023","22,04","21,61","24,95","21,35","56,74M","1,43%"
"01.07.2023","21,73","18,56","22,07","17,80","43,16M","17,97%"
"01.06.2023","18,42","17,75","19,41","17,20","48,92M","4,48%"
"01.05.2023","17,63","14,52","17,94","13,87","64,49M","21,68%"
"01.04.2023","14,49","11,68","15,39","11,62","56,72M","19,29%"
"01.03.2023","12,15","12,72","15,01","11,83","75,16M","-3,90%"
"01.02.2023","12,64","14,53","14,60","12,38","53,35M","-13,24%"
"01.01.2023","14,57","13,19","15,08","12,46","55,39M","9,08%"
"01.12.2022","13,35","14,93","15,56","12,85","48,41M","-10,76%"
"01.11.2022","14,97","20,65","21,02","14,50","47,76M","-27,21%"
"01.10.2022","20,56","21,12","23,15","18,89","32,11M","-1,93%"
"01.09.2022","20,96","17,79","21,37","17,39","36,81M","17,61%"
"01.08.2022","17,82","16,53","20,23","15,91","38,34M","7,48%"
"01.07.2022","16,58","14,09","17,12","13,87","39,17M","16,82%"
"01.06.2022","14,20","15,90","16,56","13,90","39,00M","-11,19%"
"01.05.2022","15,99","15,29","17,54","14,89","45,87M","4,57%"
