"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,95","8,70","9,05","7,95","682,50K","-8,30%"
"01.03.2024","8,67","9,65","9,84","8,48","590,80K","-10,16%"
"01.02.2024","9,65","10,33","10,37","9,28","11,89M","-6,67%"
"01.01.2024","10,34","11,62","11,62","10,34","13,05M","-11,02%"
"01.12.2023","11,62","11,23","11,62","10,60","14,05M","3,57%"
"01.11.2023","11,22","11,86","12,08","10,67","14,43M","-4,83%"
"01.10.2023","11,79","12,12","12,15","11,04","12,95M","-3,36%"
"01.09.2023","12,20","11,16","12,42","11,08","16,28M","9,81%"
"01.08.2023","11,11","12,00","12,45","10,20","20,86M","-8,78%"
"01.07.2023","12,18","11,57","12,28","11,26","13,79M","4,73%"
"01.06.2023","11,63","11,36","11,86","11,13","21,20M","3,93%"
"01.05.2023","11,19","11,86","12,83","11,19","19,34M","-7,83%"
"01.04.2023","12,14","12,44","13,30","11,53","13,80M","-2,88%"
"01.03.2023","12,50","13,59","14,67","11,38","24,28M","-7,75%"
"01.02.2023","13,55","13,35","13,93","12,85","11,68M","1,35%"
"01.01.2023","13,37","12,60","13,56","11,88","13,08M","6,03%"
"01.12.2022","12,61","12,83","13,77","11,70","14,75M","-2,10%"
"01.11.2022","12,88","11,94","13,12","11,63","16,51M","7,87%"
"01.10.2022","11,94","11,84","12,82","11,24","15,40M","0,84%"
"01.09.2022","11,84","11,78","13,36","11,22","17,64M","0,25%"
"01.08.2022","11,81","10,64","12,17","10,14","17,46M","11,00%"
"01.07.2022","10,64","10,21","10,89","9,34","15,56M","2,11%"
"01.06.2022","10,42","12,26","13,26","10,42","27,29M","-16,17%"
"01.05.2022","12,43","10,09","12,43","8,94","33,34M","23,68%"
