"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,95","5,70","5,75","4,95","0,60K","-14,36%"
"01.03.2024","5,78","6,00","6,00","5,70","0,80K","-0,86%"
"01.02.2024","5,83","6,87","6,98","5,71","234,70K","-15,14%"
"01.01.2024","6,87","7,41","7,97","6,84","127,70K","-7,16%"
"01.12.2023","7,40","7,29","8,00","7,24","203,60K","1,37%"
"01.11.2023","7,30","6,86","7,98","6,80","256,50K","5,80%"
"01.10.2023","6,90","7,45","8,40","6,83","350,70K","-5,74%"
"01.09.2023","7,32","9,24","9,24","7,25","724,80K","-19,12%"
"01.08.2023","9,05","13,54","13,66","9,05","823,30K","-32,46%"
"01.07.2023","13,40","14,83","16,00","13,25","776,40K","-9,64%"
"01.06.2023","14,83","14,35","15,09","13,19","2,08M","2,35%"
"01.05.2023","14,49","13,41","14,85","13,00","1,48M","7,33%"
"01.04.2023","13,50","13,98","14,71","12,90","2,34M","-22,86%"
"01.03.2023","17,50","17,20","18,15","16,40","1,46M","0,75%"
"01.02.2023","17,37","17,55","17,95","17,01","1,22M","-1,98%"
"01.01.2023","17,72","17,26","18,25","16,60","2,12M","2,61%"
"01.12.2022","17,27","17,91","18,64","16,65","3,58M","-3,95%"
"01.11.2022","17,98","14,53","18,18","14,06","5,19M","23,57%"
"01.10.2022","14,55","14,10","15,19","13,82","4,08M","4,68%"
"01.09.2022","13,90","14,08","15,60","13,83","8,10M","-1,49%"
"01.08.2022","14,11","19,29","19,95","13,74","14,41M","-27,00%"
"01.07.2022","19,33","16,82","19,70","16,62","6,90M","13,91%"
"01.06.2022","16,97","16,40","18,12","15,01","9,67M","4,17%"
"01.05.2022","16,29","16,72","18,60","15,91","14,79M","-2,46%"
