"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","14,48","15,00","15,03","13,69","2,94M","-3,47%"
"01.03.2024","15,00","15,92","16,20","14,78","3,28M","-5,72%"
"01.02.2024","15,91","16,31","16,63","15,58","52,29M","-2,21%"
"01.01.2024","16,27","18,01","18,08","16,00","53,30M","-9,81%"
"01.12.2023","18,04","16,87","18,69","16,87","52,42M","5,07%"
"01.11.2023","17,17","14,97","17,39","14,88","62,93M","14,54%"
"01.10.2023","14,99","15,30","16,23","14,73","77,59M","-1,06%"
"01.09.2023","15,15","14,62","15,49","14,15","69,90M","2,64%"
"01.08.2023","14,76","16,00","16,27","14,65","70,21M","-8,38%"
"01.07.2023","16,11","16,19","16,61","15,06","57,83M","0,37%"
"01.06.2023","16,05","14,93","16,36","14,56","82,00M","8,08%"
"01.05.2023","14,85","13,81","16,38","13,55","94,73M","7,38%"
"01.04.2023","13,83","13,87","14,43","13,12","58,25M","0,00%"
"01.03.2023","13,83","13,57","14,29","13,04","63,91M","2,37%"
"01.02.2023","13,51","14,68","15,28","13,51","43,69M","-8,34%"
"01.01.2023","14,74","14,39","15,36","13,77","72,03M","0,20%"
"01.12.2022","14,71","16,45","16,93","13,57","56,38M","-11,23%"
"01.11.2022","16,57","17,29","18,30","15,51","63,30M","-4,66%"
"01.10.2022","17,38","16,90","18,54","16,21","64,45M","6,23%"
"01.09.2022","16,36","14,58","17,04","14,54","40,61M","12,21%"
"01.08.2022","14,58","14,95","15,78","14,09","44,71M","-2,54%"
"01.07.2022","14,96","14,95","15,18","13,77","49,81M","-0,80%"
"01.06.2022","15,08","14,16","15,19","12,81","52,68M","7,33%"
"01.05.2022","14,05","13,34","14,45","12,52","54,22M","5,32%"
