"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","18,03","17,99","18,42","16,99","113,70K","0,73%"
"01.03.2024","17,90","16,35","18,27","16,30","321,70K","9,48%"
"01.02.2024","16,35","15,60","16,65","14,87","4,85M","4,67%"
"01.01.2024","15,62","16,90","16,99","14,78","7,33M","-8,12%"
"01.12.2023","17,00","15,43","17,18","15,28","8,10M","8,14%"
"01.11.2023","15,72","15,00","16,81","14,79","11,00M","5,08%"
"01.10.2023","14,96","16,43","16,43","14,30","9,16M","-7,94%"
"01.09.2023","16,25","13,86","16,39","13,86","10,64M","18,27%"
"01.08.2023","13,74","13,26","14,42","13,26","10,65M","2,23%"
"01.07.2023","13,44","12,63","13,50","12,48","6,23M","5,00%"
"01.06.2023","12,80","12,22","13,04","11,96","5,66M","6,22%"
"01.05.2023","12,05","9,33","12,26","9,09","11,33M","28,46%"
"01.04.2023","9,38","9,30","9,51","8,71","6,27M","0,97%"
"01.03.2023","9,29","10,72","10,72","8,69","7,72M","-13,10%"
"01.02.2023","10,69","10,37","11,06","9,85","5,99M","3,89%"
"01.01.2023","10,29","9,61","10,34","8,98","6,36M","7,08%"
"01.12.2022","9,61","10,76","11,04","9,32","5,82M","-11,03%"
"01.11.2022","10,80","13,72","13,96","10,58","10,12M","-21,33%"
"01.10.2022","13,73","12,35","13,75","11,97","9,55M","11,49%"
"01.09.2022","12,31","12,51","12,70","11,49","5,98M","-1,73%"
"01.08.2022","12,53","11,62","13,28","11,62","3,45M","7,41%"
"01.07.2022","11,67","9,52","11,67","9,02","2,61M","22,20%"
"01.06.2022","9,55","9,77","10,83","9,25","7,69M","-2,39%"
"01.05.2022","9,78","10,69","10,96","9,38","7,03M","-9,22%"
