"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2024","27,57","27,57","27,57","27,57","","0,00%"
"01.04.2024","27,57","25,94","28,24","25,94","2,30K","6,16%"
"01.03.2024","25,97","26,19","27,00","25,97","0,30K","-0,76%"
"01.02.2024","26,17","25,68","26,44","25,00","8,50K","0,81%"
"01.01.2024","25,96","26,00","26,90","25,40","14,70K","-0,54%"
"01.12.2023","26,10","24,90","26,16","24,79","43,50K","0,04%"
"01.11.2023","26,09","26,00","26,88","25,50","41,80K","-1,02%"
"01.10.2023","26,36","25,50","26,72","25,19","6,90K","2,73%"
"01.09.2023","25,66","26,67","27,00","24,90","24,40K","-4,93%"
"01.08.2023","26,99","26,65","27,00","25,80","9,50K","1,47%"
"01.07.2023","26,60","26,00","28,18","25,70","7,80K","-0,64%"
"01.06.2023","26,77","25,01","28,98","24,00","22,60K","7,08%"
"01.05.2023","25,00","24,89","26,87","24,60","24,40K","0,45%"
"01.04.2023","24,89","22,91","25,37","22,91","9,70K","8,85%"
"01.03.2023","22,86","24,03","24,50","22,85","9,20K","-2,03%"
"01.02.2023","23,34","24,71","24,72","23,28","15,30K","-6,26%"
"01.01.2023","24,90","25,05","26,14","23,64","10,60K","-0,81%"
"01.12.2022","25,10","23,36","25,27","22,02","8,50K","8,73%"
"01.11.2022","23,08","22,08","23,11","20,50","16,60K","3,30%"
"01.10.2022","22,35","23,58","23,96","21,31","11,40K","-5,20%"
"01.09.2022","23,57","23,08","23,57","22,28","33,70K","2,15%"
"01.08.2022","23,08","21,83","23,52","21,14","58,90K","2,52%"
"01.07.2022","22,51","22,19","22,59","20,41","11,20K","-0,55%"
"01.06.2022","22,63","23,08","23,32","22,20","9,30K","-0,31%"
"01.05.2022","22,70","23,76","23,76","22,42","10,00K","-5,26%"
