"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,22","6,68","6,91","5,14","1,37M","-21,39%"
"01.03.2024","6,64","8,81","12,88","6,27","8,50M","-23,77%"
"01.02.2024","8,71","14,35","14,68","5,75","134,78M","-38,18%"
"01.01.2024","14,09","10,42","16,39","8,79","138,05M","35,22%"
"01.12.2023","10,42","6,63","11,45","5,69","72,31M","59,08%"
"01.11.2023","6,55","5,18","6,85","4,70","63,80M","26,20%"
"01.10.2023","5,19","4,12","6,06","3,30","91,35M","25,36%"
"01.09.2023","4,14","5,04","5,10","3,81","42,11M","-17,37%"
"01.08.2023","5,01","6,12","6,46","4,86","75,63M","-16,78%"
"01.07.2023","6,02","6,99","7,16","5,40","71,49M","-13,01%"
"01.06.2023","6,92","4,98","8,85","4,90","157,21M","40,08%"
"01.05.2023","4,94","5,79","6,07","4,90","46,21M","-13,79%"
"01.04.2023","5,73","5,98","6,13","5,23","31,07M","-4,34%"
"01.03.2023","5,99","8,36","8,55","5,87","47,32M","-27,92%"
"01.02.2023","8,31","13,08","13,56","7,33","51,81M","-35,88%"
"01.01.2023","12,96","12,00","33,97","10,40","217,17M","30,91%"
"01.12.2022","9,90","6,04","10,81","5,45","76,60M","60,19%"
"01.11.2022","6,18","7,70","8,54","5,68","44,22M","-19,06%"
"01.10.2022","7,64","8,01","8,50","6,81","34,30M","-2,60%"
"01.09.2022","7,84","10,32","11,80","7,06","30,63M","-24,65%"
"01.08.2022","10,40","10,75","13,11","10,32","20,29M","-3,25%"
"01.07.2022","10,75","9,53","12,42","8,92","15,29M","14,95%"
"01.06.2022","9,36","12,85","12,85","9,27","11,95M","-26,21%"
"01.05.2022","12,68","13,81","14,16","11,89","18,14M","-7,64%"
