"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","18,26","22,32","23,47","18,01","204,56M","-1,30%"
"01.03.2024","18,50","17,90","18,73","17,22","254,73M","3,70%"
"01.02.2024","17,84","17,50","18,31","17,13","223,24M","2,18%"
"01.01.2024","17,46","19,71","19,76","17,02","253,91M","-11,42%"
"01.12.2023","19,71","18,21","20,04","18,02","199,80M","8,71%"
"01.11.2023","18,13","17,74","20,11","17,72","282,31M","2,37%"
"01.10.2023","17,71","19,69","19,69","17,26","213,72M","-9,78%"
"01.09.2023","19,63","21,25","21,52","19,46","213,84M","-6,66%"
"01.08.2023","21,03","23,24","23,49","20,03","302,41M","-10,13%"
"01.07.2023","23,40","20,12","23,46","20,12","222,12M","16,65%"
"01.06.2023","20,06","19,40","21,14","19,10","224,37M","4,59%"
"01.05.2023","19,18","19,60","20,38","18,52","307,76M","-2,74%"
"01.04.2023","19,72","19,70","20,87","18,57","185,87M","-0,45%"
"01.03.2023","19,81","21,10","22,46","18,77","311,36M","-6,56%"
"01.02.2023","21,20","24,15","24,20","20,30","241,68M","-12,54%"
"01.01.2023","24,24","21,68","25,09","21,33","274,51M","11,45%"
"01.12.2022","21,75","23,38","23,50","20,85","329,75M","-6,97%"
"01.11.2022","23,38","17,96","24,05","17,49","384,63M","32,02%"
"01.10.2022","17,71","17,24","18,72","17,01","268,47M","5,42%"
"01.09.2022","16,80","16,05","17,40","15,46","380,26M","4,80%"
"01.08.2022","16,03","16,47","17,55","15,40","365,83M","-1,96%"
"01.07.2022","16,35","14,70","16,69","14,25","326,91M","9,44%"
"01.06.2022","14,94","19,68","20,59","14,64","427,43M","-23,38%"
"01.05.2022","19,50","18,25","19,88","16,78","398,88M","6,44%"
