"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","10,69","10,55","11,54","10,38","20,40K","0,85%"
"01.03.2024","10,60","10,36","10,65","9,95","850,80K","2,32%"
"01.02.2024","10,36","10,28","10,51","10,01","1,42M","1,97%"
"01.01.2024","10,16","11,15","11,18","10,01","2,56M","-8,30%"
"01.12.2023","11,08","10,58","11,11","10,41","1,25M","5,02%"
"01.11.2023","10,55","9,36","11,56","9,36","3,00M","3,94%"
"01.10.2023","10,15","11,25","11,25","9,75","1,06M","-8,89%"
"01.09.2023","11,14","11,74","12,08","10,86","960,00K","-5,11%"
"01.08.2023","11,74","12,96","13,16","11,31","1,08M","-11,73%"
"01.07.2023","13,30","11,59","13,39","11,55","1,04M","14,75%"
"01.06.2023","11,59","10,89","11,94","10,73","2,65M","6,33%"
"01.05.2023","10,90","10,71","11,10","10,20","4,78M","1,92%"
"01.04.2023","10,69","10,79","11,21","10,03","1,94M","-0,63%"
"01.03.2023","10,76","10,90","11,85","10,20","2,91M","-0,54%"
"01.02.2023","10,82","13,18","13,18","10,82","2,77M","-18,03%"
"01.01.2023","13,20","11,33","13,30","11,33","2,92M","13,50%"
"01.12.2022","11,63","11,61","11,97","11,06","5,83M","0,08%"
"01.11.2022","11,62","9,61","11,65","9,56","5,97M","20,96%"
"01.10.2022","9,61","9,21","10,20","9,11","1,60M","5,69%"
"01.09.2022","9,09","8,76","9,28","8,51","2,27M","3,58%"
"01.08.2022","8,78","8,51","9,29","8,21","3,34M","0,88%"
"01.07.2022","8,70","7,98","8,70","7,68","5,46M","8,19%"
"01.06.2022","8,04","9,89","10,29","7,71","2,26M","-18,28%"
"01.05.2022","9,84","9,12","9,96","8,68","1,62M","8,08%"
