"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,32","1,67","1,68","1,16","8,57M","-21,43%"
"01.03.2024","1,68","2,56","2,72","1,62","10,36M","-33,86%"
"01.02.2024","2,54","2,88","2,92","2,26","290,37M","-10,25%"
"01.01.2024","2,83","8,93","8,93","2,52","379,71M","-68,45%"
"01.12.2023","8,97","9,10","9,29","8,22","131,79M","-1,21%"
"01.11.2023","9,08","8,50","9,65","7,90","204,32M","6,20%"
"01.10.2023","8,55","6,64","8,55","5,97","269,97M","29,35%"
"01.09.2023","6,61","7,09","7,45","6,03","194,02M","-5,97%"
"01.08.2023","7,03","9,51","9,83","7,00","310,99M","-27,00%"
"01.07.2023","9,63","13,30","13,53","9,54","291,77M","-26,88%"
"01.06.2023","13,17","8,35","13,24","8,22","344,31M","58,29%"
"01.05.2023","8,32","6,66","8,46","6,43","284,57M","25,30%"
"01.04.2023","6,64","6,55","7,38","5,90","210,06M","-0,60%"
"01.03.2023","6,68","5,59","8,44","5,03","410,63M","20,80%"
"01.02.2023","5,53","7,66","8,64","5,51","260,07M","-27,81%"
"01.01.2023","7,66","7,28","8,35","6,58","206,86M","4,36%"
"01.12.2022","7,34","8,14","8,32","6,05","266,15M","-11,67%"
"01.11.2022","8,31","9,65","10,27","7,85","270,59M","-13,53%"
"01.10.2022","9,61","9,21","10,86","8,18","243,26M","7,61%"
"01.09.2022","8,93","10,05","11,21","8,54","248,28M","-11,58%"
"01.08.2022","10,10","8,36","12,20","8,13","201,52M","20,81%"
"01.07.2022","8,36","9,03","9,32","7,42","290,39M","-7,83%"
"01.06.2022","9,07","14,71","14,71","8,87","211,88M","-37,49%"
"01.05.2022","14,51","15,27","15,89","12,68","161,03M","-4,60%"
