"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,16","6,61","6,66","5,89","660,80K","-6,81%"
"01.03.2024","6,61","6,56","6,77","6,14","1,12M","2,48%"
"01.02.2024","6,45","6,77","6,81","6,24","23,54M","-4,73%"
"01.01.2024","6,77","7,07","7,17","6,68","22,93M","-4,24%"
"01.12.2023","7,07","6,60","7,07","6,54","19,82M","7,28%"
"01.11.2023","6,59","6,19","7,09","6,13","26,75M","6,29%"
"01.10.2023","6,20","6,72","6,86","6,04","30,34M","-7,46%"
"01.09.2023","6,70","6,89","7,37","6,37","41,10M","-1,62%"
"01.08.2023","6,81","7,50","7,63","6,72","25,57M","-9,44%"
"01.07.2023","7,52","7,48","7,78","7,15","31,45M","0,53%"
"01.06.2023","7,48","7,05","7,74","6,95","37,32M","7,47%"
"01.05.2023","6,96","6,90","7,30","6,43","63,00M","1,29%"
"01.04.2023","6,87","6,05","6,88","5,89","54,71M","13,63%"
"01.03.2023","6,05","5,50","6,53","5,50","73,93M","9,10%"
"01.02.2023","5,54","5,47","5,65","5,21","24,68M","0,76%"
"01.01.2023","5,50","5,08","5,62","4,92","29,16M","8,46%"
"01.12.2022","5,07","5,56","5,79","4,89","27,88M","-9,05%"
"01.11.2022","5,58","6,06","6,32","5,18","28,65M","-7,41%"
"01.10.2022","6,02","6,04","6,49","5,55","29,68M","2,69%"
"01.09.2022","5,86","6,32","6,57","5,69","28,46M","-7,46%"
"01.08.2022","6,34","5,89","6,43","5,80","28,09M","7,56%"
"01.07.2022","5,89","5,75","5,91","5,18","26,95M","1,42%"
"01.06.2022","5,81","7,07","7,46","5,71","40,35M","-17,78%"
"01.05.2022","7,07","7,69","8,04","7,07","34,06M","-7,82%"
