"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,35","8,35","8,73","6,82","1,13M","-11,45%"
"01.03.2024","8,30","6,05","8,46","6,02","2,55M","38,33%"
"01.02.2024","6,00","5,30","6,17","4,74","37,08M","13,85%"
"01.01.2024","5,27","6,38","6,38","5,04","36,94M","-19,42%"
"01.12.2023","6,54","6,09","7,29","6,09","32,97M","7,04%"
"01.11.2023","6,11","4,73","6,74","4,69","52,28M","29,18%"
"01.10.2023","4,73","5,31","5,79","4,33","38,95M","-10,42%"
"01.09.2023","5,28","6,37","6,92","4,97","32,79M","-15,52%"
"01.08.2023","6,25","7,32","7,47","6,21","43,67M","-14,50%"
"01.07.2023","7,31","7,75","8,33","6,81","33,33M","-5,31%"
"01.06.2023","7,72","4,72","8,00","4,59","69,24M","66,02%"
"01.05.2023","4,65","4,15","4,99","3,86","51,68M","9,93%"
"01.04.2023","4,23","4,31","4,78","3,77","30,64M","-1,63%"
"01.03.2023","4,30","4,45","5,34","3,93","52,60M","-2,71%"
"01.02.2023","4,42","5,13","5,23","3,68","60,17M","-13,33%"
"01.01.2023","5,10","6,44","6,44","4,94","53,73M","-21,78%"
"01.12.2022","6,52","7,34","7,93","6,17","55,22M","-11,41%"
"01.11.2022","7,36","9,85","9,97","6,80","33,00M","-24,44%"
"01.10.2022","9,74","9,20","10,42","8,60","26,21M","11,44%"
"01.09.2022","8,74","9,20","10,91","8,25","30,14M","-4,79%"
"01.08.2022","9,18","7,46","10,06","7,44","29,50M","23,32%"
"01.07.2022","7,44","6,69","8,16","6,31","24,38M","10,03%"
"01.06.2022","6,76","8,61","9,03","6,51","22,50M","-21,31%"
"01.05.2022","8,60","9,17","9,47","7,74","35,77M","-5,75%"
