"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2024","1,22","1,22","1,22","1,22","","0,00%"
"01.04.2024","1,22","1,15","1,22","1,11","15,70K","3,39%"
"01.03.2024","1,18","1,07","1,28","1,06","30,20K","10,28%"
"01.02.2024","1,07","1,06","1,12","1,01","281,00K","0,94%"
"01.01.2024","1,06","1,19","1,21","1,04","270,40K","-10,17%"
"01.12.2023","1,18","1,19","1,22","1,11","248,80K","0,00%"
"01.11.2023","1,18","1,18","1,26","1,11","686,00K","2,61%"
"01.10.2023","1,15","1,27","1,31","1,13","536,10K","-5,74%"
"01.09.2023","1,22","1,28","1,35","1,09","796,10K","-3,94%"
"01.08.2023","1,27","1,32","1,57","1,26","917,10K","-3,79%"
"01.07.2023","1,32","1,30","1,39","1,26","447,60K","3,94%"
"01.06.2023","1,27","1,03","1,44","0,99","1,52M","24,51%"
"01.05.2023","1,02","1,00","1,13","0,92","778,40K","3,03%"
"01.04.2023","0,99","1,02","1,06","0,92","385,60K","-2,94%"
"01.03.2023","1,02","0,92","1,14","0,81","359,90K","8,51%"
"01.02.2023","0,94","1,15","1,15","0,92","418,10K","-18,97%"
"01.01.2023","1,16","1,12","1,20","1,05","349,10K","0,87%"
"01.12.2022","1,15","1,13","1,20","1,05","323,30K","2,68%"
"01.11.2022","1,12","1,30","1,45","1,11","721,60K","-13,85%"
"01.10.2022","1,30","1,28","1,45","1,25","753,20K","4,00%"
"01.09.2022","1,25","1,35","1,36","1,22","247,90K","-7,41%"
"01.08.2022","1,35","1,17","1,40","1,16","838,00K","14,41%"
"01.07.2022","1,18","1,32","1,37","1,16","397,90K","-11,94%"
"01.06.2022","1,34","1,60","1,63","1,23","304,70K","-15,19%"
"01.05.2022","1,58","1,78","1,80","1,51","632,60K","-11,24%"
