"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","3,69","3,83","4,16","3,45","40,11M","-0,27%"
"01.03.2024","3,70","3,67","4,01","3,59","44,16M","0,82%"
"01.02.2024","3,67","3,90","3,96","3,31","1,48B","-5,41%"
"01.01.2024","3,88","4,39","4,63","3,76","1,48B","-12,81%"
"01.12.2023","4,45","4,40","4,68","4,03","1,19B","1,83%"
"01.11.2023","4,37","3,71","4,84","3,61","1,83B","18,43%"
"01.10.2023","3,69","4,69","4,75","3,57","1,65B","-21,49%"
"01.09.2023","4,70","4,30","4,75","4,20","1,13B","10,33%"
"01.08.2023","4,26","4,79","5,42","4,23","2,08B","-11,25%"
"01.07.2023","4,80","4,40","4,84","4,04","1,18B","9,59%"
"01.06.2023","4,38","3,99","4,54","3,93","1,85B","9,77%"
"01.05.2023","3,99","2,77","4,11","2,67","2,60B","44,57%"
"01.04.2023","2,76","2,61","2,80","2,22","1,78B","5,34%"
"01.03.2023","2,62","3,63","3,69","1,93","4,08B","-41,65%"
"01.02.2023","4,49","5,12","5,24","4,19","1,08B","-12,82%"
"01.01.2023","5,15","4,96","5,23","4,08","1,36B","1,38%"
"01.12.2022","5,08","5,19","5,40","4,21","1,02B","-2,31%"
"01.11.2022","5,20","7,64","8,11","4,89","1,44B","-33,33%"
"01.10.2022","7,80","7,94","8,48","6,63","1,05B","3,04%"
"01.09.2022","7,57","7,31","8,65","7,14","1,18B","3,98%"
"01.08.2022","7,28","6,10","8,33","5,99","1,37B","18,18%"
"01.07.2022","6,16","5,42","6,79","5,33","996,06M","12,61%"
"01.06.2022","5,47","6,75","6,92","5,01","1,09B","-18,60%"
"01.05.2022","6,72","8,76","9,03","6,35","1,40B","-23,38%"
