"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,74","3,11","3,25","2,55","531,40K","-8,67%"
"01.03.2024","3,00","2,95","3,11","2,70","822,40K","2,04%"
"01.02.2024","2,94","2,65","3,01","2,56","9,47M","10,94%"
"01.01.2024","2,65","3,53","3,53","2,55","14,45M","-24,93%"
"01.12.2023","3,53","2,95","3,64","2,84","13,00M","20,48%"
"01.11.2023","2,93","2,34","3,07","2,34","11,32M","25,21%"
"01.10.2023","2,34","2,62","2,62","2,22","9,53M","-11,70%"
"01.09.2023","2,65","3,15","3,24","2,46","12,84M","-12,83%"
"01.08.2023","3,04","3,83","4,45","2,98","26,42M","-20,83%"
"01.07.2023","3,84","3,67","3,96","3,36","12,24M","5,79%"
"01.06.2023","3,63","3,00","3,80","2,99","17,69M","21,81%"
"01.05.2023","2,98","2,25","2,98","2,18","16,40M","32,53%"
"01.04.2023","2,25","1,97","2,34","1,82","18,61M","14,71%"
"01.03.2023","1,96","1,91","2,15","1,80","20,86M","3,03%"
"01.02.2023","1,90","2,21","2,27","1,89","11,62M","-13,91%"
"01.01.2023","2,21","1,93","3,00","1,88","39,28M","12,75%"
"01.12.2022","1,96","2,26","2,29","1,84","18,12M","-13,19%"
"01.11.2022","2,26","2,79","2,98","2,11","14,28M","-18,97%"
"01.10.2022","2,79","2,90","3,42","2,59","15,65M","-2,68%"
"01.09.2022","2,86","2,58","3,01","2,56","15,83M","9,16%"
"01.08.2022","2,62","2,41","3,19","2,35","23,61M","8,76%"
"01.07.2022","2,41","2,31","2,58","2,10","21,10M","4,58%"
"01.06.2022","2,31","2,91","3,00","2,23","13,37M","-20,53%"
"01.05.2022","2,90","3,27","3,27","2,81","12,62M","-8,19%"
