"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,39","4,29","4,41","3,92","3,92M","2,33%"
"01.03.2024","4,29","3,84","4,30","3,38","4,20M","11,72%"
"01.02.2024","3,84","3,75","3,88","3,48","72,20M","2,95%"
"01.01.2024","3,73","3,93","3,96","3,62","86,68M","-5,33%"
"01.12.2023","3,94","3,63","3,96","3,60","104,63M","8,24%"
"01.11.2023","3,64","3,95","4,10","3,36","265,20M","-7,85%"
"01.10.2023","3,95","4,60","4,60","3,75","232,60M","-13,76%"
"01.09.2023","4,58","3,97","4,75","3,97","186,91M","16,24%"
"01.08.2023","3,94","3,93","4,42","3,80","260,07M","-1,01%"
"01.07.2023","3,98","3,20","4,07","3,05","251,78M","25,16%"
"01.06.2023","3,18","3,11","3,90","3,09","134,14M","3,25%"
"01.05.2023","3,08","2,63","3,27","2,55","107,28M","20,31%"
"01.04.2023","2,56","2,14","2,68","2,06","84,79M","19,07%"
"01.03.2023","2,15","1,85","2,19","1,76","123,76M","16,22%"
"01.02.2023","1,85","2,18","2,29","1,69","107,99M","-14,75%"
"01.01.2023","2,17","2,23","2,26","2,00","100,08M","-3,98%"
"01.12.2022","2,26","2,65","2,71","2,18","125,71M","-15,36%"
"01.11.2022","2,67","2,84","3,13","2,41","93,51M","-5,32%"
"01.10.2022","2,82","2,44","2,82","2,36","66,79M","18,99%"
"01.09.2022","2,37","2,41","2,64","2,25","86,28M","-2,07%"
"01.08.2022","2,42","2,22","2,80","2,15","122,60M","8,52%"
"01.07.2022","2,23","2,24","2,39","1,99","69,88M","-1,33%"
"01.06.2022","2,26","3,15","3,20","2,19","83,71M","-28,03%"
"01.05.2022","3,14","3,19","3,41","2,65","94,20M","-1,57%"
