"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,85","3,22","3,26","2,85","730,10K","-14,16%"
"01.03.2024","3,32","2,90","3,37","2,90","4,95M","13,31%"
"01.02.2024","2,93","2,87","3,02","2,76","1,98M","1,03%"
"01.01.2024","2,90","3,00","3,12","2,80","2,73M","-3,33%"
"01.12.2023","3,00","2,82","3,08","2,82","2,60M","5,26%"
"01.11.2023","2,85","2,60","2,90","2,54","1,99M","11,76%"
"01.10.2023","2,55","2,65","2,78","2,50","989,90K","-3,77%"
"01.09.2023","2,65","2,74","2,90","2,58","1,36M","-3,28%"
"01.08.2023","2,74","2,75","2,91","2,69","1,49M","-0,72%"
"01.07.2023","2,76","2,79","2,90","2,70","2,83M","-2,47%"
"01.06.2023","2,83","2,59","2,92","2,55","3,69M","10,12%"
"01.05.2023","2,57","2,45","2,72","2,43","9,84M","4,90%"
"01.04.2023","2,45","2,44","2,56","2,35","1,88M","0,82%"
"01.03.2023","2,43","2,44","3,12","2,29","2,67M","-0,25%"
"01.02.2023","2,44","2,62","2,68","2,37","1,08M","-9,77%"
"01.01.2023","2,70","2,65","2,78","2,33","2,50M","1,89%"
"01.12.2022","2,65","2,50","2,72","2,20","3,71M","3,92%"
"01.11.2022","2,55","2,90","3,09","2,22","4,65M","-12,67%"
"01.10.2022","2,92","2,80","3,07","2,60","5,27M","4,29%"
"01.09.2022","2,80","2,44","3,07","2,31","11,98M","16,18%"
"01.08.2022","2,41","2,62","2,80","2,41","4,37M","-6,23%"
"01.07.2022","2,57","2,31","2,69","2,22","4,99M","11,26%"
"01.06.2022","2,31","2,56","2,60","2,25","3,56M","-8,70%"
"01.05.2022","2,53","2,64","2,70","2,30","5,20M","-2,74%"
