"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,98","2,79","3,33","2,65","72,90K","6,81%"
"01.03.2024","2,79","3,06","3,15","2,50","52,90K","-9,42%"
"01.02.2024","3,08","3,30","3,46","3,05","554,20K","-6,38%"
"01.01.2024","3,29","3,00","3,47","2,96","1,51M","-4,08%"
"01.12.2023","3,43","3,07","3,43","3,01","889,30K","12,46%"
"01.11.2023","3,05","3,10","3,79","3,02","1,20M","0,33%"
"01.10.2023","3,04","3,70","3,79","3,00","911,50K","-18,28%"
"01.09.2023","3,72","3,14","3,73","3,12","774,00K","18,47%"
"01.08.2023","3,14","3,60","3,80","3,11","979,10K","-12,78%"
"01.07.2023","3,60","3,85","4,15","3,01","1,90M","-5,51%"
"01.06.2023","3,81","3,95","4,55","3,65","2,08M","-2,31%"
"01.05.2023","3,90","4,15","4,55","3,70","1,51M","-7,14%"
"01.04.2023","4,20","4,25","4,45","3,70","1,34M","0,00%"
"01.03.2023","4,20","5,10","5,50","4,10","2,58M","-16,83%"
"01.02.2023","5,05","6,45","6,60","4,85","3,17M","-21,09%"
"01.01.2023","6,40","4,90","6,90","4,70","3,67M","28,00%"
"01.12.2022","5,00","5,65","6,00","4,30","2,95M","-13,04%"
"01.11.2022","5,75","6,90","8,75","4,95","8,01M","-14,18%"
"01.10.2022","6,70","7,10","8,90","6,25","8,07M","-5,63%"
"01.09.2022","7,10","4,15","8,40","3,80","10,90M","71,08%"
"01.08.2022","4,15","3,90","4,85","3,75","2,26M","7,79%"
"01.07.2022","3,85","2,70","4,70","2,55","3,22M","42,59%"
"01.06.2022","2,70","4,40","4,65","2,65","1,77M","-38,64%"
"01.05.2022","4,40","5,50","5,60","3,85","1,95M","-20,00%"
