"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","42,48","38,21","43,78","37,07","1,30M","13,73%"
"01.03.2024","37,35","39,00","43,97","36,58","865,70K","-3,79%"
"01.02.2024","38,82","40,87","42,97","38,50","25,16M","-4,76%"
"01.01.2024","40,76","44,34","44,41","37,51","38,70M","-7,99%"
"01.12.2023","44,30","50,74","54,57","44,08","38,19M","-12,28%"
"01.11.2023","50,50","40,84","51,35","40,61","40,76M","24,11%"
"01.10.2023","40,69","43,81","44,63","39,01","40,30M","-7,52%"
"01.09.2023","44,00","43,13","44,80","38,61","38,18M","2,42%"
"01.08.2023","42,96","41,20","48,00","36,57","65,06M","4,47%"
"01.07.2023","41,12","43,35","55,45","40,23","68,11M","-5,58%"
"01.06.2023","43,55","38,25","44,49","37,12","55,83M","14,61%"
"01.05.2023","38,00","31,31","39,60","30,40","73,32M","20,75%"
"01.04.2023","31,47","22,30","31,47","20,82","48,77M","41,50%"
"01.03.2023","22,24","18,97","22,94","18,27","42,15M","17,80%"
"01.02.2023","18,88","25,85","26,56","18,88","40,69M","-27,75%"
"01.01.2023","26,13","25,80","40,50","21,50","60,73M","1,28%"
"01.12.2022","25,80","21,60","31,20","18,90","45,09M","14,67%"
"01.11.2022","22,50","28,80","32,10","21,90","38,31M","-20,21%"
"01.10.2022","28,20","33,60","35,40","25,50","30,20M","-14,55%"
"01.09.2022","33,00","49,20","49,20","30,00","53,16M","-32,93%"
"01.08.2022","49,20","57,90","74,70","49,20","25,69M","-14,14%"
"01.07.2022","57,30","61,20","68,70","56,40","10,23M","-5,91%"
"01.06.2022","60,90","88,80","91,50","60,90","9,89M","-30,95%"
"01.05.2022","88,20","83,70","92,10","71,10","12,32M","6,14%"
