"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,56","10,51","10,54","9,43","15,21M","-8,95%"
"01.03.2024","10,50","10,30","10,79","10,21","15,72M","1,94%"
"01.02.2024","10,30","9,72","10,63","9,55","434,69M","3,00%"
"01.01.2024","10,00","10,31","10,32","9,83","400,16M","-3,57%"
"01.12.2023","10,37","9,65","10,40","9,53","392,64M","6,36%"
"01.11.2023","9,75","8,25","9,80","8,21","468,23M","18,47%"
"01.10.2023","8,23","8,56","8,67","8,18","447,22M","-3,97%"
"01.09.2023","8,57","8,63","8,86","8,33","400,95M","-0,81%"
"01.08.2023","8,64","9,07","9,30","8,60","621,15M","-5,26%"
"01.07.2023","9,12","8,96","9,32","8,75","464,88M","2,47%"
"01.06.2023","8,90","8,02","9,08","7,98","504,45M","11,39%"
"01.05.2023","7,99","7,89","8,34","7,57","494,52M","1,14%"
"01.04.2023","7,90","7,44","7,96","7,29","357,62M","5,61%"
"01.03.2023","7,48","7,42","7,56","6,96","610,21M","1,08%"
"01.02.2023","7,40","7,66","8,04","7,27","422,64M","-3,52%"
"01.01.2023","7,67","7,59","7,92","7,30","439,11M","0,26%"
"01.12.2022","7,65","7,68","7,79","6,94","558,72M","-1,67%"
"01.11.2022","7,78","8,48","8,70","7,45","733,91M","-8,58%"
"01.10.2022","8,51","7,84","8,67","7,83","585,62M","10,38%"
"01.09.2022","7,71","7,26","7,96","7,10","561,76M","6,64%"
"01.08.2022","7,23","6,79","7,51","6,64","537,14M","6,64%"
"01.07.2022","6,78","6,51","6,88","6,25","414,12M","3,51%"
"01.06.2022","6,55","7,52","7,55","6,53","469,33M","-12,78%"
"01.05.2022","7,51","7,21","7,55","6,82","725,22M","4,16%"
