"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","23,44","21,33","23,46","20,58","8,89M","9,02%"
"01.03.2024","21,50","23,07","23,92","21,32","5,45M","-6,76%"
"01.02.2024","23,06","23,43","23,89","21,16","112,71M","-1,58%"
"01.01.2024","23,43","24,91","25,33","23,39","105,56M","-5,94%"
"01.12.2023","24,91","23,21","25,31","23,12","125,26M","7,32%"
"01.11.2023","23,21","20,02","23,53","20,02","188,07M","15,88%"
"01.10.2023","20,03","18,06","20,41","17,87","181,65M","10,97%"
"01.09.2023","18,05","18,47","19,28","17,56","139,41M","-1,90%"
"01.08.2023","18,40","18,70","20,25","18,08","219,61M","-2,02%"
"01.07.2023","18,78","17,66","19,54","17,17","239,55M","7,56%"
"01.06.2023","17,46","16,04","18,49","15,43","288,94M","9,77%"
"01.05.2023","15,91","16,94","17,34","14,31","322,17M","-6,15%"
"01.04.2023","16,95","16,80","16,95","15,54","168,93M","0,28%"
"01.03.2023","16,90","18,29","19,83","16,69","253,28M","-6,98%"
"01.02.2023","18,17","18,94","19,30","16,62","211,10M","-4,43%"
"01.01.2023","19,01","20,82","21,79","18,77","166,30M","-8,69%"
"01.12.2022","20,82","20,82","21,98","18,96","169,90M","-0,27%"
"01.11.2022","20,88","22,79","25,48","20,33","167,82M","-8,08%"
"01.10.2022","22,71","23,21","24,08","21,91","169,02M","-0,64%"
"01.09.2022","22,86","27,02","27,20","22,71","163,68M","-15,11%"
"01.08.2022","26,92","29,15","29,78","26,49","196,04M","-7,36%"
"01.07.2022","29,06","28,59","30,44","26,57","132,78M","1,11%"
"01.06.2022","28,74","32,30","33,13","28,70","149,91M","-11,26%"
"01.05.2022","32,39","33,78","34,11","30,32","188,44M","-3,28%"
