"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,51","2,45","2,45","1,46","20,10K","-37,08%"
"01.03.2024","2,40","1,82","2,84","1,55","11,60K","31,87%"
"01.02.2024","1,82","2,05","2,09","1,73","215,90K","-10,78%"
"01.01.2024","2,04","2,15","2,33","1,96","740,40K","-5,12%"
"01.12.2023","2,15","2,51","2,94","2,06","1,66M","-12,60%"
"01.11.2023","2,46","2,04","3,40","1,96","1,23M","25,51%"
"01.10.2023","1,96","2,38","2,64","1,95","118,40K","-15,52%"
"01.09.2023","2,32","2,69","2,84","2,28","125,00K","-13,75%"
"01.08.2023","2,69","3,44","3,48","2,58","191,40K","-21,35%"
"01.07.2023","3,42","3,33","4,25","3,15","1,33M","3,32%"
"01.06.2023","3,31","2,27","3,80","2,27","1,59M","45,81%"
"01.05.2023","2,27","2,40","2,59","2,20","166,40K","-5,42%"
"01.04.2023","2,40","2,76","2,76","2,37","137,70K","-15,79%"
"01.03.2023","2,85","3,19","3,23","2,70","160,30K","-7,47%"
"01.02.2023","3,08","3,40","3,70","2,65","321,24K","-8,06%"
"01.01.2023","3,35","3,50","4,00","3,20","467,46K","-4,29%"
"01.12.2022","3,50","3,55","3,75","2,55","260,12K","-2,78%"
"01.11.2022","3,60","4,30","4,85","3,50","384,90K","-16,28%"
"01.10.2022","4,30","4,30","5,35","4,10","1,15M","0,00%"
"01.09.2022","4,30","4,10","5,30","3,90","717,14K","7,50%"
"01.08.2022","4,00","4,15","4,75","3,95","319,14K","-3,61%"
"01.07.2022","4,15","4,75","5,10","4,00","498,04K","-11,70%"
"01.06.2022","4,70","4,50","5,40","3,40","873,36K","2,17%"
"01.05.2022","4,60","5,45","5,95","4,30","599,28K","-14,02%"
