"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,30","4,82","4,89","4,01","2,08M","-11,89%"
"01.03.2024","4,88","4,46","4,90","4,18","1,67M","9,42%"
"01.02.2024","4,46","4,73","4,80","4,22","68,18M","-5,91%"
"01.01.2024","4,74","5,56","5,57","4,70","48,29M","-14,90%"
"01.12.2023","5,57","4,36","5,65","4,35","68,17M","27,46%"
"01.11.2023","4,37","4,29","4,76","4,18","70,87M","1,86%"
"01.10.2023","4,29","4,76","4,76","3,98","56,16M","-9,87%"
"01.09.2023","4,76","4,80","5,11","4,53","58,79M","-0,83%"
"01.08.2023","4,80","5,56","5,90","4,57","76,60M","-14,89%"
"01.07.2023","5,64","5,11","5,66","4,95","57,20M","10,81%"
"01.06.2023","5,09","4,66","5,21","4,47","83,43M","8,92%"
"01.05.2023","4,67","3,80","4,67","3,69","66,49M","23,02%"
"01.04.2023","3,80","3,61","4,10","3,50","50,71M","6,19%"
"01.03.2023","3,58","4,09","4,25","3,34","111,24M","-11,53%"
"01.02.2023","4,04","4,86","4,97","4,04","47,22M","-17,04%"
"01.01.2023","4,87","4,69","4,94","4,38","60,84M","3,62%"
"01.12.2022","4,70","5,12","5,32","4,24","48,12M","-8,48%"
"01.11.2022","5,14","6,72","7,04","4,94","56,85M","-24,52%"
"01.10.2022","6,81","7,05","7,28","6,34","40,53M","-0,81%"
"01.09.2022","6,86","5,81","7,35","5,76","76,94M","19,35%"
"01.08.2022","5,75","5,24","6,35","5,09","65,20M","8,77%"
"01.07.2022","5,29","5,27","5,50","4,94","58,77M","-2,23%"
"01.06.2022","5,41","6,48","6,61","5,40","55,70M","-17,30%"
"01.05.2022","6,54","6,08","6,73","5,63","78,56M","7,47%"
