"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,57","12,38","14,08","11,57","11,73M","-6,99%"
"01.03.2024","12,44","11,87","12,97","11,40","8,81M","4,89%"
"01.02.2024","11,86","10,93","12,23","10,41","7,82M","8,61%"
"01.01.2024","10,92","12,42","13,38","10,55","9,18M","-12,29%"
"01.12.2023","12,45","9,69","12,57","9,62","21,27M","24,87%"
"01.11.2023","9,97","8,41","10,11","8,23","11,58M","18,55%"
"01.10.2023","8,41","8,37","9,02","7,77","4,79M","-0,71%"
"01.09.2023","8,47","8,76","9,07","8,02","3,11M","-2,08%"
"01.08.2023","8,65","9,89","10,79","8,62","4,69M","-12,18%"
"01.07.2023","9,85","8,82","9,85","8,31","5,88M","11,30%"
"01.06.2023","8,85","8,12","9,30","8,03","6,96M","8,32%"
"01.05.2023","8,17","7,50","8,77","6,97","9,19M","13,47%"
"01.04.2023","7,20","6,67","7,70","6,42","7,21M","9,09%"
"01.03.2023","6,60","7,00","7,83","6,21","11,10M","-5,31%"
"01.02.2023","6,97","6,44","7,33","5,95","7,90M","7,23%"
"01.01.2023","6,50","5,51","6,55","4,99","13,71M","17,97%"
"01.12.2022","5,51","5,80","5,94","5,03","11,19M","-9,08%"
"01.11.2022","6,06","7,52","8,27","5,58","13,85M","-20,58%"
"01.10.2022","7,63","5,60","7,68","5,56","10,16M","37,73%"
"01.09.2022","5,54","6,49","6,49","5,19","9,83M","-13,44%"
"01.08.2022","6,40","5,06","6,62","4,86","11,39M","25,74%"
"01.07.2022","5,09","5,09","5,10","4,38","11,14M","-0,59%"
"01.06.2022","5,12","6,51","6,82","4,95","8,71M","-21,95%"
"01.05.2022","6,56","7,14","7,14","5,16","12,33M","-7,06%"
