"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","30,64","35,05","35,86","30,26","370,10K","-11,37%"
"01.03.2024","34,57","36,13","36,74","31,40","325,70K","-3,68%"
"01.02.2024","35,89","34,04","36,65","32,56","9,75M","5,43%"
"01.01.2024","34,04","35,47","37,52","33,15","13,74M","-3,68%"
"01.12.2023","35,34","31,64","35,83","31,18","11,27M","11,76%"
"01.11.2023","31,62","27,87","33,50","27,16","22,23M","-13,23%"
"01.10.2023","36,44","48,24","49,27","35,20","16,66M","-24,48%"
"01.09.2023","48,25","48,00","52,52","47,15","6,16M","0,67%"
"01.08.2023","47,93","45,33","50,42","42,56","7,94M","5,60%"
"01.07.2023","45,39","46,33","47,46","43,87","4,51M","-2,47%"
"01.06.2023","46,54","41,19","46,67","40,30","7,84M","12,91%"
"01.05.2023","41,22","28,76","42,24","28,00","8,79M","43,37%"
"01.04.2023","28,75","26,96","29,23","25,48","5,53M","5,67%"
"01.03.2023","27,21","28,83","29,70","24,99","7,38M","-5,33%"
"01.02.2023","28,74","30,35","32,00","28,74","4,18M","-5,51%"
"01.01.2023","30,42","26,80","30,67","24,56","4,19M","13,98%"
"01.12.2022","26,69","24,76","27,32","23,14","4,19M","6,99%"
"01.11.2022","24,94","22,41","26,54","21,73","4,83M","11,34%"
"01.10.2022","22,40","20,15","22,71","20,15","3,74M","11,05%"
"01.09.2022","20,17","21,20","22,00","19,85","4,01M","-4,28%"
"01.08.2022","21,07","20,99","22,90","19,96","4,07M","0,83%"
"01.07.2022","20,90","20,20","21,16","19,08","4,05M","3,92%"
"01.06.2022","20,11","22,86","23,78","19,52","4,91M","-11,52%"
"01.05.2022","22,73","21,42","22,84","19,40","7,79M","5,90%"
