"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,97","5,16","5,85","4,93","232,10K","-3,68%"
"01.03.2024","5,16","5,03","5,50","4,96","370,70K","4,03%"
"01.02.2024","4,96","5,96","6,10","4,72","23,15M","-16,78%"
"01.01.2024","5,96","7,78","7,90","5,91","24,05M","-25,50%"
"01.12.2023","8,00","6,02","8,00","5,88","24,78M","33,78%"
"01.11.2023","5,98","5,41","7,15","5,26","16,94M","9,72%"
"01.10.2023","5,45","5,88","6,05","4,97","22,91M","-7,63%"
"01.09.2023","5,90","6,09","6,54","5,36","37,55M","-3,44%"
"01.08.2023","6,11","7,86","7,90","6,00","48,00M","-22,26%"
"01.07.2023","7,86","9,60","9,84","7,55","88,20M","-17,26%"
"01.06.2023","9,50","4,60","10,04","4,01","195,84M","111,11%"
"01.05.2023","4,50","3,16","5,10","3,10","340,93M","39,75%"
"01.04.2023","3,22","2,40","3,27","1,87","220,71M","31,97%"
"01.03.2023","2,44","2,53","2,87","1,86","193,19M","-2,40%"
"01.02.2023","2,50","3,80","3,87","2,31","216,80M","-34,38%"
"01.01.2023","3,81","4,59","4,91","3,79","98,28M","-17,71%"
"01.12.2022","4,63","5,73","5,99","4,42","88,85M","-19,06%"
"01.11.2022","5,72","5,73","6,54","5,11","89,45M","0,70%"
"01.10.2022","5,68","5,53","6,16","5,00","87,88M","5,19%"
"01.09.2022","5,40","5,65","6,08","5,33","75,80M","-4,59%"
"01.08.2022","5,66","5,37","6,89","5,30","105,48M","5,79%"
"01.07.2022","5,35","5,89","6,07","5,00","95,08M","-7,44%"
"01.06.2022","5,78","7,75","8,71","5,78","62,11M","-24,94%"
"01.05.2022","7,70","8,95","9,07","7,57","84,80M","-13,77%"
