"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","38,70","39,03","40,99","31,50","27,60K","-0,87%"
"01.03.2024","39,04","37,97","42,00","37,01","31,20K","2,76%"
"01.02.2024","37,99","36,90","38,45","35,18","402,90K","1,99%"
"01.01.2024","37,25","38,50","40,57","36,64","983,00K","-3,22%"
"01.12.2023","38,49","47,85","49,79","38,01","2,07M","-19,88%"
"01.11.2023","48,04","41,00","49,50","38,10","1,26M","17,63%"
"01.10.2023","40,84","43,74","43,74","33,01","1,63M","-7,18%"
"01.09.2023","44,00","40,21","49,67","38,33","1,48M","10,00%"
"01.08.2023","40,00","50,14","50,14","40,00","1,86M","-20,26%"
"01.07.2023","50,16","51,06","53,68","47,12","2,17M","-2,26%"
"01.06.2023","51,32","49,90","53,40","46,23","2,37M","2,64%"
"01.05.2023","50,00","37,70","52,81","36,75","2,19M","29,30%"
"01.04.2023","38,67","38,25","40,78","36,94","1,62M","1,47%"
"01.03.2023","38,11","31,23","41,49","30,30","2,04M","24,79%"
"01.02.2023","30,54","36,07","36,47","30,35","2,14M","-16,31%"
"01.01.2023","36,49","35,46","38,24","31,04","2,81M","3,96%"
"01.12.2022","35,10","30,56","36,12","27,20","4,78M","14,48%"
"01.11.2022","30,66","37,42","38,34","29,25","4,96M","-18,07%"
"01.10.2022","37,42","32,55","38,70","32,55","3,41M","13,57%"
"01.09.2022","32,95","39,23","43,08","32,25","7,46M","-15,88%"
"01.08.2022","39,17","32,40","39,95","31,10","10,57M","20,52%"
"01.07.2022","32,50","30,45","32,59","25,86","4,21M","7,12%"
"01.06.2022","30,34","34,04","35,40","29,88","4,60M","-10,87%"
"01.05.2022","34,04","26,45","34,43","25,31","7,36M","29,04%"
