"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,25","2,19","2,39","1,93","82,80K","2,74%"
"01.03.2024","2,19","1,94","2,37","1,86","90,70K","11,73%"
"01.02.2024","1,96","2,25","2,45","1,92","2,62M","-14,41%"
"01.01.2024","2,29","2,53","2,53","2,21","2,17M","-9,13%"
"01.12.2023","2,52","2,22","2,60","2,16","2,41M","14,03%"
"01.11.2023","2,21","1,85","2,40","1,83","5,55M","20,11%"
"01.10.2023","1,84","2,04","2,34","1,83","2,87M","-9,36%"
"01.09.2023","2,03","2,71","2,77","1,97","2,62M","-25,91%"
"01.08.2023","2,74","2,75","2,97","2,45","2,75M","-1,44%"
"01.07.2023","2,78","2,68","2,90","2,51","2,33M","4,91%"
"01.06.2023","2,65","2,12","2,75","2,12","4,55M","26,19%"
"01.05.2023","2,10","1,70","2,29","1,64","4,18M","22,14%"
"01.04.2023","1,72","1,50","1,79","1,46","5,24M","11,54%"
"01.03.2023","1,54","1,78","1,80","1,48","5,28M","-12,85%"
"01.02.2023","1,77","1,89","2,02","1,69","3,07M","-6,77%"
"01.01.2023","1,90","1,78","2,19","1,67","4,41M","5,49%"
"01.12.2022","1,80","2,15","2,24","1,39","8,84M","-17,27%"
"01.11.2022","2,17","2,77","2,93","1,99","6,97M","-21,71%"
"01.10.2022","2,78","2,94","3,43","2,66","5,18M","-5,39%"
"01.09.2022","2,93","2,86","3,61","2,80","5,17M","2,41%"
"01.08.2022","2,87","2,95","3,72","2,65","6,71M","-3,33%"
"01.07.2022","2,96","2,53","3,06","2,31","4,21M","14,07%"
"01.06.2022","2,60","3,06","3,08","2,41","6,14M","-15,16%"
"01.05.2022","3,06","3,84","3,93","2,52","17,05M","-22,20%"
