"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","15,33","16,91","17,78","15,24","8,31M","-9,72%"
"01.03.2024","16,98","15,96","17,11","15,27","15,86M","7,47%"
"01.02.2024","15,80","16,16","16,44","14,22","223,48M","-1,56%"
"01.01.2024","16,05","17,25","17,39","15,37","344,03M","-7,86%"
"01.12.2023","17,42","16,25","17,78","15,77","334,46M","6,41%"
"01.11.2023","16,37","12,37","16,51","12,18","501,17M","33,52%"
"01.10.2023","12,26","13,23","13,27","11,72","403,97M","-8,51%"
"01.09.2023","13,40","15,83","16,85","12,64","500,02M","-16,41%"
"01.08.2023","16,03","18,71","20,15","15,85","481,25M","-14,51%"
"01.07.2023","18,75","19,82","20,80","17,57","507,58M","-6,25%"
"01.06.2023","20,00","19,38","22,96","19,07","485,21M","2,83%"
"01.05.2023","19,45","15,70","20,45","14,37","536,40M","22,79%"
"01.04.2023","15,84","16,63","18,00","14,45","450,55M","-4,41%"
"01.03.2023","16,57","18,55","20,02","16,25","436,10M","-10,22%"
"01.02.2023","18,46","21,38","22,20","18,24","293,82M","-13,78%"
"01.01.2023","21,41","20,06","21,77","18,19","337,93M","5,62%"
"01.12.2022","20,27","22,27","22,47","18,77","362,02M","-10,75%"
"01.11.2022","22,71","30,45","30,68","21,99","355,49M","-25,08%"
"01.10.2022","30,31","28,35","31,19","26,55","223,17M","10,95%"
"01.09.2022","27,32","25,86","27,89","24,89","244,85M","5,87%"
"01.08.2022","25,80","24,49","28,56","24,49","319,38M","4,67%"
"01.07.2022","24,65","21,86","25,51","21,64","209,84M","11,80%"
"01.06.2022","22,05","25,87","27,58","21,22","246,96M","-14,34%"
"01.05.2022","25,74","22,95","26,17","21,81","252,19M","12,00%"
