"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,38","1,86","1,90","1,38","678,80K","-25,41%"
"01.03.2024","1,85","2,01","2,22","1,84","240,60K","-7,50%"
"01.02.2024","2,00","1,99","2,08","1,76","5,09M","0,50%"
"01.01.2024","1,99","2,26","2,39","1,98","8,62M","-11,95%"
"01.12.2023","2,26","2,17","2,35","2,11","7,30M","4,63%"
"01.11.2023","2,16","2,16","2,60","2,12","10,61M","0,47%"
"01.10.2023","2,15","2,31","2,40","2,06","11,84M","-6,11%"
"01.09.2023","2,29","2,35","3,18","2,04","17,97M","-1,29%"
"01.08.2023","2,32","3,00","3,28","2,30","9,99M","-22,92%"
"01.07.2023","3,01","3,19","3,43","2,96","8,59M","-4,75%"
"01.06.2023","3,16","3,07","3,69","3,00","17,19M","3,61%"
"01.05.2023","3,05","3,47","3,67","2,97","13,46M","-10,56%"
"01.04.2023","3,41","3,87","4,02","3,14","12,78M","-11,20%"
"01.03.2023","3,84","5,09","6,22","3,61","42,44M","-23,81%"
"01.02.2023","5,04","6,60","6,79","4,59","34,41M","-23,05%"
"01.01.2023","6,55","3,97","7,67","3,61","66,85M","66,24%"
"01.12.2022","3,94","3,64","4,15","3,34","35,09M","7,65%"
"01.11.2022","3,66","3,41","3,94","2,60","38,41M","8,28%"
"01.10.2022","3,38","4,19","4,38","3,20","22,58M","-17,36%"
"01.09.2022","4,09","4,30","5,50","3,81","45,78M","-2,62%"
"01.08.2022","4,20","3,49","4,48","3,40","17,84M","21,39%"
"01.07.2022","3,46","3,14","3,67","2,95","12,56M","12,34%"
"01.06.2022","3,08","4,74","4,78","2,95","9,22M","-34,47%"
"01.05.2022","4,70","4,62","5,28","3,82","13,30M","2,40%"
