"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,60","5,73","5,75","4,55","10,53M","-21,23%"
"01.03.2024","5,84","5,58","6,27","5,55","7,36M","4,85%"
"01.02.2024","5,57","5,46","5,78","4,97","138,57M","2,01%"
"01.01.2024","5,46","5,99","6,45","5,19","247,54M","-9,15%"
"01.12.2023","6,01","6,10","6,49","5,67","194,09M","-1,31%"
"01.11.2023","6,09","5,51","7,04","5,48","161,18M","11,95%"
"01.10.2023","5,44","6,35","6,62","5,33","132,56M","-14,87%"
"01.09.2023","6,39","7,15","7,70","6,03","82,83M","-9,62%"
"01.08.2023","7,07","7,40","7,88","6,40","173,42M","-4,59%"
"01.07.2023","7,41","8,64","9,21","6,96","130,05M","-13,64%"
"01.06.2023","8,58","7,73","9,63","7,73","135,51M","12,01%"
"01.05.2023","7,66","5,20","8,26","5,03","209,51M","46,91%"
"01.04.2023","5,21","4,78","5,72","4,57","131,99M","9,81%"
"01.03.2023","4,75","4,95","6,78","4,37","273,39M","-2,04%"
"01.02.2023","4,85","6,34","6,71","4,85","133,36M","-23,71%"
"01.01.2023","6,35","6,75","6,86","5,66","215,44M","-8,69%"
"01.12.2022","6,96","8,33","8,94","6,63","206,73M","-16,43%"
"01.11.2022","8,33","10,83","11,29","7,07","209,49M","-23,15%"
"01.10.2022","10,83","9,19","11,35","9,18","205,68M","21,44%"
"01.09.2022","8,92","9,21","9,89","8,22","177,38M","-3,74%"
"01.08.2022","9,27","6,64","11,02","6,64","392,73M","38,11%"
"01.07.2022","6,71","5,62","7,21","5,37","269,32M","20,46%"
"01.06.2022","5,57","6,64","7,43","5,18","275,98M","-14,98%"
"01.05.2022","6,55","7,16","7,38","4,87","498,79M","-7,81%"
