"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,68","6,00","6,00","5,24","15,58M","-2,74%"
"01.03.2024","5,84","6,28","6,74","5,71","9,25M","-7,45%"
"01.02.2024","6,31","6,68","6,68","6,18","10,32M","-4,68%"
"01.01.2024","6,62","8,37","8,40","6,43","9,55M","-20,72%"
"01.12.2023","8,35","8,20","8,69","7,63","9,98M","7,74%"
"01.11.2023","7,75","7,12","8,10","6,91","7,46M","10,09%"
"01.10.2023","7,04","8,67","8,67","6,76","8,21M","-19,08%"
"01.09.2023","8,70","9,78","10,37","8,01","7,96M","-9,84%"
"01.08.2023","9,65","10,13","10,78","9,40","8,05M","-6,13%"
"01.07.2023","10,28","10,68","11,33","9,92","7,54M","-3,56%"
"01.06.2023","10,66","9,26","11,27","9,20","9,31M","16,50%"
"01.05.2023","9,15","8,23","9,77","7,84","7,41M","8,93%"
"01.04.2023","8,40","7,73","8,40","7,50","6,17M","7,01%"
"01.03.2023","7,85","8,43","8,93","7,50","9,30M","-7,43%"
"01.02.2023","8,48","9,19","10,29","8,36","7,66M","-7,93%"
"01.01.2023","9,21","6,96","9,52","6,33","12,57M","27,74%"
"01.12.2022","7,21","7,63","7,85","5,97","14,92M","-5,75%"
"01.11.2022","7,65","9,18","9,94","6,96","14,00M","-16,85%"
"01.10.2022","9,20","8,82","9,87","7,90","9,39M","5,75%"
"01.09.2022","8,70","8,81","9,54","8,20","12,53M","-3,97%"
"01.08.2022","9,06","8,35","10,13","8,30","14,92M","11,03%"
"01.07.2022","8,16","7,58","8,79","7,37","7,57M","6,95%"
"01.06.2022","7,63","9,36","9,64","7,21","9,96M","-18,40%"
"01.05.2022","9,35","12,03","12,03","8,90","12,87M","-21,49%"
