"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,29","2,13","2,52","2,01","14,67M","6,51%"
"01.03.2024","2,15","2,45","2,49","1,95","17,45M","-12,24%"
"01.02.2024","2,45","2,06","2,47","1,97","18,08M","19,51%"
"01.01.2024","2,05","2,04","2,18","1,78","26,89M","0,99%"
"01.12.2023","2,03","2,36","2,38","1,98","24,03M","-13,25%"
"01.11.2023","2,34","3,35","4,25","2,19","50,17M","-30,15%"
"01.10.2023","3,35","3,87","3,95","3,02","32,55M","-13,21%"
"01.09.2023","3,86","4,28","4,57","3,52","40,05M","-8,10%"
"01.08.2023","4,20","4,17","4,28","3,45","33,26M","-0,47%"
"01.07.2023","4,22","4,57","4,88","3,48","54,39M","-6,84%"
"01.06.2023","4,53","2,83","4,58","2,67","36,41M","61,21%"
"01.05.2023","2,81","1,90","2,89","1,78","26,65M","47,89%"
"01.04.2023","1,90","1,92","1,95","1,70","12,85M","-0,52%"
"01.03.2023","1,91","3,25","3,25","1,83","24,54M","-41,23%"
"01.02.2023","3,25","3,11","3,63","3,03","16,66M","4,84%"
"01.01.2023","3,10","3,00","3,42","2,74","22,75M","3,33%"
"01.12.2022","3,00","2,68","3,13","2,51","17,85M","12,36%"
"01.11.2022","2,67","3,23","3,30","2,52","28,91M","-16,56%"
"01.10.2022","3,20","2,70","4,26","2,66","44,49M","22,14%"
"01.09.2022","2,62","2,60","2,67","2,27","18,16M","-0,76%"
"01.08.2022","2,64","2,43","3,08","2,26","27,36M","6,45%"
"01.07.2022","2,48","2,28","2,59","2,05","27,03M","6,44%"
"01.06.2022","2,33","3,73","3,73","2,19","29,92M","-36,68%"
"01.05.2022","3,68","5,36","5,36","2,59","33,18M","-31,73%"
