"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","33,94","38,24","38,32","33,81","1,46M","-11,11%"
"01.03.2024","38,18","41,20","42,31","37,52","733,40K","-7,38%"
"01.02.2024","41,22","38,31","41,71","36,93","16,37M","7,62%"
"01.01.2024","38,30","38,63","39,39","36,25","9,76M","-0,85%"
"01.12.2023","38,63","34,66","39,48","34,47","17,37M","9,50%"
"01.11.2023","35,28","32,56","37,01","31,70","24,82M","8,25%"
"01.10.2023","32,59","36,53","38,57","31,81","21,45M","-10,79%"
"01.09.2023","36,53","36,95","39,40","35,11","22,91M","-1,80%"
"01.08.2023","37,20","41,68","43,91","36,88","24,76M","-10,86%"
"01.07.2023","41,73","43,15","45,21","39,88","28,53M","-1,97%"
"01.06.2023","42,57","38,65","43,15","38,65","25,18M","10,45%"
"01.05.2023","38,54","28,90","40,52","28,54","37,71M","34,93%"
"01.04.2023","28,57","25,02","28,78","24,32","27,21M","13,40%"
"01.03.2023","25,19","33,91","33,97","23,51","55,64M","-24,76%"
"01.02.2023","33,48","34,02","35,31","32,38","24,96M","-1,90%"
"01.01.2023","34,12","34,55","36,98","32,65","26,35M","-4,49%"
"01.12.2022","35,73","38,95","42,18","35,18","28,19M","-8,62%"
"01.11.2022","39,10","43,25","44,02","35,94","24,83M","-9,75%"
"01.10.2022","43,32","43,77","45,51","40,02","24,53M","-0,71%"
"01.09.2022","43,63","42,05","44,53","40,63","26,01M","3,77%"
"01.08.2022","42,05","31,00","44,75","30,76","41,57M","35,70%"
"01.07.2022","30,99","25,96","31,83","25,66","25,10M","19,35%"
"01.06.2022","25,96","25,82","27,26","23,41","28,10M","0,94%"
"01.05.2022","25,72","23,16","26,17","21,85","32,28M","9,46%"
