"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,59","12,70","14,35","11,50","514,20K","-9,03%"
"01.03.2024","12,74","13,04","13,10","11,54","680,00K","-3,04%"
"01.02.2024","13,14","11,79","13,14","10,55","11,52M","11,54%"
"01.01.2024","11,78","13,33","13,33","11,38","10,46M","-11,63%"
"01.12.2023","13,33","11,76","13,52","11,60","8,10M","12,49%"
"01.11.2023","11,85","10,30","11,99","10,17","9,41M","15,84%"
"01.10.2023","10,23","10,75","10,75","9,09","7,91M","-4,84%"
"01.09.2023","10,75","11,86","12,03","9,85","10,83M","-9,05%"
"01.08.2023","11,82","10,80","12,40","10,68","9,15M","8,14%"
"01.07.2023","10,93","9,32","10,97","9,19","5,41M","18,93%"
"01.06.2023","9,19","7,51","9,45","7,44","7,58M","21,56%"
"01.05.2023","7,56","5,57","7,56","5,26","10,72M","35,73%"
"01.04.2023","5,57","5,00","5,99","4,82","2,98M","11,40%"
"01.03.2023","5,00","5,10","5,50","4,66","5,80M","-0,99%"
"01.02.2023","5,05","5,68","5,80","5,05","2,54M","-10,93%"
"01.01.2023","5,67","5,79","6,18","5,30","3,46M","-2,41%"
"01.12.2022","5,81","5,70","6,00","5,01","3,67M","2,47%"
"01.11.2022","5,67","7,40","7,79","5,22","5,12M","-23,38%"
"01.10.2022","7,40","6,73","7,87","6,55","5,63M","12,63%"
"01.09.2022","6,57","6,65","7,15","6,19","5,50M","-1,20%"
"01.08.2022","6,65","5,30","7,20","5,30","4,13M","25,47%"
"01.07.2022","5,30","5,04","5,64","4,87","3,20M","3,11%"
"01.06.2022","5,14","6,68","6,74","5,01","4,22M","-23,51%"
"01.05.2022","6,72","6,07","6,82","5,52","4,35M","9,45%"
