"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,59","1,66","1,72","1,47","710,20K","-3,64%"
"01.03.2024","1,65","2,14","2,28","1,65","481,40K","-22,90%"
"01.02.2024","2,14","1,79","2,28","1,67","23,78M","21,59%"
"01.01.2024","1,76","1,97","1,97","1,73","22,56M","-11,11%"
"01.12.2023","1,98","1,94","2,05","1,89","21,80M","2,59%"
"01.11.2023","1,93","1,58","2,00","1,58","28,59M","21,38%"
"01.10.2023","1,59","1,92","1,94","1,52","30,01M","-17,62%"
"01.09.2023","1,93","2,14","2,17","1,80","33,98M","-9,81%"
"01.08.2023","2,14","2,64","2,88","2,06","28,95M","-19,25%"
"01.07.2023","2,65","2,58","2,89","2,40","18,13M","2,71%"
"01.06.2023","2,58","2,18","2,82","2,15","26,26M","18,35%"
"01.05.2023","2,18","2,12","2,38","2,04","18,95M","3,81%"
"01.04.2023","2,10","1,94","2,24","1,86","16,44M","8,25%"
"01.03.2023","1,94","2,01","2,18","1,81","22,55M","-2,51%"
"01.02.2023","1,99","2,54","2,55","1,96","14,30M","-20,72%"
"01.01.2023","2,51","2,80","3,06","2,43","24,65M","-10,36%"
"01.12.2022","2,80","2,28","2,87","2,21","44,80M","21,74%"
"01.11.2022","2,30","2,58","2,70","2,00","40,06M","-6,88%"
"01.10.2022","2,47","2,05","2,47","2,02","39,35M","23,50%"
"01.09.2022","2,00","1,99","2,22","1,93","28,53M","0,00%"
"01.08.2022","2,00","1,64","2,28","1,63","46,14M","21,21%"
"01.07.2022","1,65","1,59","1,77","1,51","36,09M","2,48%"
"01.06.2022","1,61","2,10","2,12","1,53","40,24M","-23,33%"
"01.05.2022","2,10","2,48","2,52","2,05","46,37M","-15,32%"
