"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,30","4,50","4,77","4,20","12,69M","-9,09%"
"01.03.2024","4,73","4,74","4,93","4,53","7,00M","-0,21%"
"01.02.2024","4,74","4,36","4,88","4,18","2,79M","8,72%"
"01.01.2024","4,36","4,79","4,89","4,21","3,14M","-9,17%"
"01.12.2023","4,80","4,12","4,80","4,10","3,38M","14,29%"
"01.11.2023","4,20","4,01","4,44","3,93","4,12M","2,44%"
"01.10.2023","4,10","4,36","4,42","3,83","5,16M","-8,07%"
"01.09.2023","4,46","4,31","4,80","4,12","5,11M","3,48%"
"01.08.2023","4,31","4,83","5,04","4,21","6,53M","-10,21%"
"01.07.2023","4,80","4,35","4,84","4,17","3,94M","12,94%"
"01.06.2023","4,25","4,05","4,60","3,95","4,56M","4,94%"
"01.05.2023","4,05","3,30","4,35","3,22","3,70M","16,71%"
"01.04.2023","3,47","3,01","3,51","2,87","7,03M","15,67%"
"01.03.2023","3,00","3,01","3,43","2,78","7,25M","0,00%"
"01.02.2023","3,00","3,02","3,13","2,84","7,21M","0,00%"
"01.01.2023","3,00","3,25","3,32","2,95","7,04M","-8,81%"
"01.12.2022","3,29","3,37","3,46","3,00","7,11M","-1,50%"
"01.11.2022","3,34","4,18","4,33","3,28","6,43M","-21,23%"
"01.10.2022","4,24","4,45","4,69","3,94","6,06M","-3,20%"
"01.09.2022","4,38","4,27","4,48","4,10","3,72M","3,06%"
"01.08.2022","4,25","3,92","4,76","3,77","5,56M","7,32%"
"01.07.2022","3,96","3,57","3,98","3,40","3,15M","10,61%"
"01.06.2022","3,58","3,90","4,05","3,40","3,67M","-8,21%"
"01.05.2022","3,90","3,82","4,04","3,60","3,60M","2,10%"
