"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,36","1,81","1,84","1,34","85,31M","-24,44%"
"01.03.2024","1,80","2,15","2,25","1,72","207,60M","-15,49%"
"01.02.2024","2,13","2,11","2,22","1,90","2,59B","1,43%"
"01.01.2024","2,10","2,14","2,35","1,90","3,50B","-2,78%"
"01.12.2023","2,16","2,03","2,65","1,93","2,91B","6,93%"
"01.11.2023","2,02","1,33","2,35","1,31","4,53B","51,88%"
"01.10.2023","1,33","2,12","2,13","1,30","2,70B","-37,26%"
"01.09.2023","2,12","2,79","2,86","2,00","1,85B","-23,19%"
"01.08.2023","2,76","3,36","3,48","2,53","2,34B","-17,61%"
"01.07.2023","3,35","3,41","3,51","2,89","1,98B","-0,59%"
"01.06.2023","3,37","3,84","4,18","3,31","2,19B","-11,32%"
"01.05.2023","3,80","3,35","4,46","3,23","2,68B","13,77%"
"01.04.2023","3,34","3,33","3,97","3,04","1,90B","0,91%"
"01.03.2023","3,31","3,64","3,99","2,94","2,78B","-7,80%"
"01.02.2023","3,59","4,40","4,54","3,45","2,21B","-18,96%"
"01.01.2023","4,43","2,65","4,67","2,50","4,27B","61,68%"
"01.12.2022","2,74","3,38","3,39","2,35","4,16B","-19,65%"
"01.11.2022","3,41","4,53","5,01","3,03","4,18B","-23,71%"
"01.10.2022","4,47","4,75","5,46","3,88","3,78B","-0,22%"
"01.09.2022","4,48","4,30","4,97","3,88","3,74B","4,92%"
"01.08.2022","4,27","2,58","4,79","2,55","4,59B","65,50%"
"01.07.2022","2,58","2,34","3,13","2,03","3,94B","10,26%"
"01.06.2022","2,34","3,73","3,99","2,31","3,32B","-37,10%"
"01.05.2022","3,72","4,91","4,97","3,57","2,95B","-23,77%"
