"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","13,27","13,45","13,71","12,64","908,90K","-1,78%"
"01.03.2024","13,51","12,49","13,84","12,33","2,12M","8,51%"
"01.02.2024","12,45","13,05","13,22","11,81","15,68M","-4,96%"
"01.01.2024","13,10","13,59","13,99","12,45","20,00M","-3,53%"
"01.12.2023","13,58","12,74","13,67","12,23","13,53M","6,01%"
"01.11.2023","12,81","10,38","12,92","10,28","16,63M","23,29%"
"01.10.2023","10,39","12,05","12,05","10,23","19,49M","-14,27%"
"01.09.2023","12,12","12,63","14,07","11,69","18,21M","-4,19%"
"01.08.2023","12,65","12,45","13,66","11,85","24,47M","1,69%"
"01.07.2023","12,44","11,38","12,97","11,28","17,07M","10,38%"
"01.06.2023","11,27","11,71","12,50","10,52","21,36M","-3,38%"
"01.05.2023","11,66","9,08","11,69","8,59","27,04M","28,31%"
"01.04.2023","9,09","9,40","9,68","8,26","19,33M","-4,77%"
"01.03.2023","9,55","11,46","11,64","8,61","34,52M","-14,47%"
"01.02.2023","11,16","10,25","11,68","9,68","16,67M","7,70%"
"01.01.2023","10,36","11,08","11,30","9,25","18,20M","-7,96%"
"01.12.2022","11,26","10,17","11,72","9,00","25,19M","11,32%"
"01.11.2022","10,11","13,42","13,96","9,98","27,30M","-22,80%"
"01.10.2022","13,10","10,97","13,37","10,64","24,40M","21,09%"
"01.09.2022","10,82","9,68","11,44","9,46","23,09M","11,45%"
"01.08.2022","9,71","7,50","9,81","7,38","31,01M","29,48%"
"01.07.2022","7,50","5,70","7,68","5,61","20,52M","31,62%"
"01.06.2022","5,70","7,25","7,30","5,51","19,87M","-21,50%"
"01.05.2022","7,26","7,06","7,78","6,26","24,23M","2,21%"
