"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,06","8,49","8,82","6,96","2,29M","-16,94%"
"01.03.2024","8,50","8,58","9,46","8,03","3,87M","-0,35%"
"01.02.2024","8,53","9,26","9,47","7,93","79,39M","-7,98%"
"01.01.2024","9,27","11,83","11,95","9,02","84,38M","-22,04%"
"01.12.2023","11,89","11,16","12,69","10,34","111,46M","6,83%"
"01.11.2023","11,13","8,75","11,45","8,70","68,52M","27,20%"
"01.10.2023","8,75","11,88","11,88","8,66","82,52M","-26,35%"
"01.09.2023","11,88","12,44","13,22","10,92","66,10M","-4,27%"
"01.08.2023","12,41","11,30","14,28","11,26","90,31M","8,76%"
"01.07.2023","11,41","10,60","11,79","10,15","66,39M","8,36%"
"01.06.2023","10,53","10,21","12,23","9,88","88,05M","3,13%"
"01.05.2023","10,21","8,47","11,78","8,21","99,77M","20,24%"
"01.04.2023","8,49","8,00","8,72","7,36","88,57M","6,43%"
"01.03.2023","7,98","6,47","8,38","5,97","119,40M","22,95%"
"01.02.2023","6,49","7,45","7,53","6,35","66,63M","-12,85%"
"01.01.2023","7,45","7,43","8,09","6,68","92,52M","-1,18%"
"01.12.2022","7,53","8,60","8,65","6,14","94,14M","-12,11%"
"01.11.2022","8,57","13,26","14,05","8,24","101,45M","-34,95%"
"01.10.2022","13,18","12,12","14,15","12,12","48,31M","11,48%"
"01.09.2022","11,82","13,11","14,39","11,51","57,38M","-9,97%"
"01.08.2022","13,13","12,16","15,02","11,90","69,09M","8,19%"
"01.07.2022","12,14","12,37","12,82","11,11","50,56M","-1,58%"
"01.06.2022","12,33","16,90","17,49","12,31","56,33M","-26,97%"
"01.05.2022","16,89","16,45","17,26","14,14","67,32M","3,64%"
