"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,45","10,28","10,89","9,45","7,39M","-8,34%"
"01.03.2024","10,31","9,90","10,42","9,05","4,03M","4,14%"
"01.02.2024","9,90","9,41","9,90","8,40","119,95M","5,21%"
"01.01.2024","9,41","9,65","9,89","8,92","125,20M","-2,99%"
"01.12.2023","9,70","9,72","10,29","9,15","168,70M","-0,21%"
"01.11.2023","9,72","6,47","10,56","6,42","251,61M","50,46%"
"01.10.2023","6,46","7,19","7,27","6,23","188,89M","-9,40%"
"01.09.2023","7,13","7,40","7,75","6,90","248,49M","-3,78%"
"01.08.2023","7,41","7,36","8,20","6,42","353,10M","-0,13%"
"01.07.2023","7,42","7,34","7,79","6,75","171,48M","2,06%"
"01.06.2023","7,27","6,65","7,81","6,53","203,24M","9,49%"
"01.05.2023","6,64","6,51","7,11","6,15","254,91M","2,00%"
"01.04.2023","6,51","6,67","6,95","6,03","228,16M","-1,96%"
"01.03.2023","6,64","6,38","7,63","6,12","269,25M","4,24%"
"01.02.2023","6,37","7,70","8,24","6,06","281,70M","-17,27%"
"01.01.2023","7,70","8,67","8,86","7,54","235,15M","-11,49%"
"01.12.2022","8,70","7,75","8,70","6,20","400,59M","12,44%"
"01.11.2022","7,74","9,53","10,51","7,58","245,45M","-18,22%"
"01.10.2022","9,46","8,89","10,38","8,67","230,50M","8,41%"
"01.09.2022","8,73","11,63","11,91","8,64","301,28M","-24,94%"
"01.08.2022","11,63","11,11","13,28","10,54","221,15M","4,74%"
"01.07.2022","11,10","10,12","11,83","9,84","166,05M","9,00%"
"01.06.2022","10,19","13,08","13,84","10,16","166,94M","-22,52%"
"01.05.2022","13,15","15,80","15,99","11,98","204,73M","-16,64%"
