"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,70","7,84","7,85","6,11","13,17M","-13,99%"
"01.03.2024","7,79","7,35","8,58","7,06","18,26M","2,23%"
"01.02.2024","7,62","7,91","8,18","6,70","485,49M","-3,30%"
"01.01.2024","7,88","11,22","11,22","7,55","528,70M","-29,83%"
"01.12.2023","11,23","9,73","11,58","8,94","247,02M","16,13%"
"01.11.2023","9,67","8,32","10,86","8,18","234,83M","17,21%"
"01.10.2023","8,25","10,62","10,62","7,94","358,76M","-22,68%"
"01.09.2023","10,67","11,43","12,44","9,76","215,44M","-6,07%"
"01.08.2023","11,36","13,88","14,55","11,24","205,34M","-18,27%"
"01.07.2023","13,90","11,56","14,59","10,98","258,66M","20,14%"
"01.06.2023","11,57","10,10","12,30","10,06","297,27M","14,78%"
"01.05.2023","10,08","7,20","10,24","6,88","259,21M","40,00%"
"01.04.2023","7,20","6,35","7,84","6,02","272,03M","12,85%"
"01.03.2023","6,38","6,00","7,97","5,51","350,66M","8,14%"
"01.02.2023","5,90","7,00","7,18","5,88","227,89M","-15,95%"
"01.01.2023","7,02","7,57","7,97","6,65","262,05M","-7,63%"
"01.12.2022","7,60","8,56","8,66","7,00","206,68M","-11,53%"
"01.11.2022","8,59","10,25","10,52","7,99","228,50M","-15,62%"
"01.10.2022","10,18","12,70","13,17","8,74","378,89M","-18,04%"
"01.09.2022","12,42","10,22","12,95","10,19","254,82M","22,84%"
"01.08.2022","10,11","9,01","11,45","9,00","213,14M","12,12%"
"01.07.2022","9,02","7,69","9,30","7,55","172,24M","17,29%"
"01.06.2022","7,69","9,32","9,34","7,18","153,23M","-17,13%"
"01.05.2022","9,28","9,93","10,31","8,86","187,69M","-6,40%"
