"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,15","5,05","5,45","4,15","938,10K","-18,63%"
"01.03.2024","5,10","5,95","6,18","4,62","1,25M","-14,29%"
"01.02.2024","5,95","4,88","5,95","4,34","34,59M","21,93%"
"01.01.2024","4,88","6,16","6,18","4,55","44,49M","-20,78%"
"01.12.2023","6,16","4,72","6,44","4,65","33,24M","30,51%"
"01.11.2023","4,72","3,64","4,84","3,60","26,45M","31,11%"
"01.10.2023","3,60","4,69","4,70","3,40","36,35M","-22,75%"
"01.09.2023","4,66","5,28","5,54","4,33","12,91M","-11,07%"
"01.08.2023","5,24","6,35","7,14","5,11","33,75M","-23,95%"
"01.07.2023","6,89","7,04","7,71","6,69","11,42M","-1,29%"
"01.06.2023","6,98","5,58","7,42","5,46","11,52M","25,77%"
"01.05.2023","5,55","3,51","5,73","3,35","21,04M","58,16%"
"01.04.2023","3,51","3,32","3,72","3,11","7,89M","5,81%"
"01.03.2023","3,32","3,51","3,57","3,06","10,71M","-5,16%"
"01.02.2023","3,50","4,61","4,61","3,48","8,01M","-23,93%"
"01.01.2023","4,60","3,41","5,02","3,20","15,35M","34,71%"
"01.12.2022","3,41","3,86","4,02","3,05","13,39M","-11,68%"
"01.11.2022","3,86","5,10","5,57","3,64","9,96M","-24,54%"
"01.10.2022","5,12","4,76","5,30","4,72","8,55M","6,67%"
"01.09.2022","4,80","5,02","5,22","4,32","8,97M","-4,08%"
"01.08.2022","5,00","4,41","5,88","4,26","10,68M","12,42%"
"01.07.2022","4,45","3,75","4,53","3,71","6,48M","18,60%"
"01.06.2022","3,75","4,76","4,99","3,63","7,18M","-21,89%"
"01.05.2022","4,80","5,31","5,31","4,45","8,18M","-8,87%"
