"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","48,33","49,49","49,97","46,60","0,10K","-5,24%"
"01.03.2024","51,00","47,75","51,00","47,75","2,80K","4,72%"
"01.02.2024","48,70","50,01","50,89","45,00","118,20K","-3,56%"
"01.01.2024","50,50","48,57","51,86","48,03","54,80K","3,95%"
"01.12.2023","48,58","47,01","49,99","41,29","282,70K","0,79%"
"01.11.2023","48,20","47,00","50,00","45,41","105,60K","0,44%"
"01.10.2023","47,99","49,65","49,65","43,70","75,00K","-2,85%"
"01.09.2023","49,40","52,19","53,15","48,00","76,70K","-5,60%"
"01.08.2023","52,33","50,99","53,98","50,00","54,70K","2,63%"
"01.07.2023","50,99","47,06","51,00","46,00","44,60K","6,25%"
"01.06.2023","47,99","40,04","49,44","40,03","72,20K","15,90%"
"01.05.2023","41,41","40,47","43,37","39,03","41,60K","2,32%"
"01.04.2023","40,47","40,42","41,44","38,10","42,60K","2,59%"
"01.03.2023","39,45","42,06","42,91","38,00","30,60K","-8,18%"
"01.02.2023","42,96","41,30","43,89","39,26","23,10K","1,67%"
"01.01.2023","42,25","44,14","44,14","37,77","33,70K","-4,49%"
"01.12.2022","44,24","44,15","44,55","32,03","113,60K","-1,62%"
"01.11.2022","44,97","42,28","44,97","38,85","47,40K","8,77%"
"01.10.2022","41,34","40,72","43,72","38,93","50,50K","3,53%"
"01.09.2022","39,93","38,95","43,97","37,25","25,00K","0,37%"
"01.08.2022","39,78","33,93","41,67","33,07","28,30K","15,15%"
"01.07.2022","34,55","34,74","37,73","33,58","24,40K","-3,09%"
"01.06.2022","35,65","36,59","36,92","32,06","38,60K","-2,69%"
"01.05.2022","36,64","34,41","38,56","31,61","64,20K","1,55%"
