"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,30","14,41","14,56","12,16","644,30K","-15,00%"
"01.03.2024","14,47","12,63","14,48","12,18","886,30K","15,21%"
"01.02.2024","12,56","12,47","13,07","11,42","14,72M","1,13%"
"01.01.2024","12,42","12,90","13,07","11,61","23,49M","-3,65%"
"01.12.2023","12,89","11,89","13,53","11,68","23,98M","7,87%"
"01.11.2023","11,95","11,28","12,40","11,07","26,08M","5,94%"
"01.10.2023","11,28","13,70","13,86","11,06","32,08M","-17,66%"
"01.09.2023","13,70","13,89","15,25","13,39","24,75M","-1,37%"
"01.08.2023","13,89","13,85","15,61","13,67","33,84M","0,29%"
"01.07.2023","13,85","12,51","14,01","11,81","32,81M","10,89%"
"01.06.2023","12,49","12,98","13,56","11,83","34,93M","-3,18%"
"01.05.2023","12,90","11,21","13,04","10,33","51,35M","13,66%"
"01.04.2023","11,35","11,98","12,46","10,90","27,00M","-5,42%"
"01.03.2023","12,00","10,97","12,42","10,15","41,77M","9,34%"
"01.02.2023","10,97","11,15","11,62","10,47","23,31M","-1,66%"
"01.01.2023","11,16","11,33","11,41","9,93","43,48M","-2,63%"
"01.12.2022","11,46","12,67","13,38","11,25","27,05M","-10,83%"
"01.11.2022","12,85","14,04","14,17","11,73","43,37M","-7,17%"
"01.10.2022","13,85","12,48","14,10","11,88","34,97M","13,64%"
"01.09.2022","12,19","13,05","13,45","11,74","48,14M","-6,62%"
"01.08.2022","13,05","15,04","17,88","12,98","43,11M","-13,21%"
"01.07.2022","15,04","14,72","15,39","13,96","24,32M","1,25%"
"01.06.2022","14,85","14,08","15,75","13,73","31,85M","5,44%"
"01.05.2022","14,08","12,67","14,42","11,85","34,46M","11,78%"
