"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,21","4,59","4,81","4,20","0,90K","-7,68%"
"01.03.2024","4,56","4,72","4,89","4,41","0,70K","-3,59%"
"01.02.2024","4,73","5,08","5,09","4,71","24,00K","-5,96%"
"01.01.2024","5,03","5,04","5,33","4,91","45,60K","-2,52%"
"01.12.2023","5,16","5,38","5,50","5,01","34,70K","-3,73%"
"01.11.2023","5,36","4,93","5,70","4,91","24,60K","8,72%"
"01.10.2023","4,93","5,32","5,89","4,93","34,10K","-13,20%"
"01.09.2023","5,68","6,14","6,32","4,84","33,30K","-7,04%"
"01.08.2023","6,11","7,80","9,38","5,74","141,60K","-20,65%"
"01.07.2023","7,70","6,31","7,79","6,08","125,80K","20,12%"
"01.06.2023","6,41","4,04","7,38","4,04","467,50K","56,34%"
"01.05.2023","4,10","4,21","4,35","3,91","238,40K","0,00%"
"01.04.2023","4,10","4,10","4,48","3,30","155,10K","1,49%"
"01.03.2023","4,04","5,20","5,60","4,00","181,10K","-21,55%"
"01.02.2023","5,15","10,22","10,95","4,56","465,40K","-50,19%"
"01.01.2023","10,34","15,50","17,50","10,33","236,21K","-33,29%"
"01.12.2022","15,50","15,00","17,00","14,50","87,64K","3,33%"
"01.11.2022","15,00","22,00","27,00","15,00","221,54K","-30,23%"
"01.10.2022","21,50","22,50","25,00","21,00","119,34K","-4,44%"
"01.09.2022","22,50","26,00","26,50","21,00","61,16K","-11,76%"
"01.08.2022","25,50","24,50","32,00","24,50","149,99K","4,08%"
"01.07.2022","24,50","27,00","29,50","24,00","104,67K","-10,91%"
"01.06.2022","27,50","34,00","34,00","23,50","183,95K","-19,12%"
"01.05.2022","34,00","47,50","47,50","32,00","473,94K","-26,09%"
