"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,03","1,08","1,08","0,96","11,47M","-2,83%"
"01.03.2024","1,06","1,19","1,20","1,06","8,01M","-9,40%"
"01.02.2024","1,17","1,12","1,23","1,06","9,42M","4,46%"
"01.01.2024","1,12","1,25","1,30","1,12","8,50M","-10,40%"
"01.12.2023","1,25","1,29","1,30","1,23","7,83M","-1,57%"
"01.11.2023","1,27","1,25","1,44","1,25","9,08M","1,60%"
"01.10.2023","1,25","1,29","1,41","1,19","9,57M","-2,34%"
"01.09.2023","1,28","1,33","1,39","1,18","8,92M","-2,29%"
"01.08.2023","1,31","1,79","1,91","1,30","22,55M","-26,82%"
"01.07.2023","1,79","1,91","2,08","1,67","16,27M","-4,79%"
"01.06.2023","1,88","1,53","2,26","1,50","34,21M","24,50%"
"01.05.2023","1,51","1,35","1,64","1,25","14,20M","10,22%"
"01.04.2023","1,37","1,10","1,55","1,05","13,84M","24,55%"
"01.03.2023","1,10","1,19","1,30","1,02","14,61M","-6,78%"
"01.02.2023","1,18","1,43","1,54","1,12","13,04M","-18,06%"
"01.01.2023","1,44","1,48","1,69","1,40","13,78M","-3,36%"
"01.12.2022","1,49","1,45","1,65","1,38","17,55M","3,47%"
"01.11.2022","1,44","1,55","1,74","1,38","16,08M","-8,28%"
"01.10.2022","1,57","1,74","1,90","1,46","15,05M","-8,19%"
"01.09.2022","1,71","1,83","1,88","1,53","19,28M","-6,56%"
"01.08.2022","1,83","2,00","2,31","1,83","24,01M","-8,50%"
"01.07.2022","2,00","1,80","2,14","1,74","11,67M","11,11%"
"01.06.2022","1,80","2,26","2,30","1,79","26,65M","-19,28%"
"01.05.2022","2,23","2,26","2,35","2,01","26,99M","-1,76%"
