"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","16,59","17,88","18,21","15,82","3,75M","-7,21%"
"01.03.2024","17,88","16,38","19,06","15,95","9,20M","9,63%"
"01.02.2024","16,31","16,07","17,24","15,66","177,76M","1,94%"
"01.01.2024","16,00","16,90","17,73","15,06","197,44M","-5,27%"
"01.12.2023","16,89","16,47","17,68","15,83","186,48M","2,43%"
"01.11.2023","16,49","12,81","16,74","12,42","210,58M","29,33%"
"01.10.2023","12,75","14,43","15,21","12,18","224,76M","-12,43%"
"01.09.2023","14,56","15,22","16,52","14,39","172,22M","-4,08%"
"01.08.2023","15,18","18,06","18,41","15,03","286,36M","-16,91%"
"01.07.2023","18,27","16,80","18,33","15,32","194,88M","9,14%"
"01.06.2023","16,74","13,97","17,79","13,78","382,89M","20,52%"
"01.05.2023","13,89","10,92","14,08","10,56","358,54M","25,59%"
"01.04.2023","11,06","13,25","14,93","10,34","473,32M","-16,21%"
"01.03.2023","13,20","15,45","15,86","11,83","536,50M","-13,84%"
"01.02.2023","15,32","14,64","15,75","13,72","292,55M","5,29%"
"01.01.2023","14,55","11,45","14,94","9,86","307,30M","25,32%"
"01.12.2022","11,61","11,65","12,67","9,60","337,46M","-0,85%"
"01.11.2022","11,71","15,02","15,12","11,17","330,29M","-21,67%"
"01.10.2022","14,95","15,24","15,40","12,61","340,68M","1,49%"
"01.09.2022","14,73","14,57","17,42","13,53","337,68M","2,15%"
"01.08.2022","14,42","15,68","19,28","13,67","353,61M","-7,45%"
"01.07.2022","15,58","13,31","16,83","12,50","212,69M","16,10%"
"01.06.2022","13,42","16,44","17,96","13,02","247,44M","-18,52%"
"01.05.2022","16,47","18,63","18,70","15,15","249,12M","-11,40%"
