"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,04","5,41","5,41","4,62","19,50K","-6,84%"
"01.03.2024","5,41","5,49","7,21","5,25","18,20K","-1,64%"
"01.02.2024","5,50","4,97","5,90","4,73","78,50K","8,91%"
"01.01.2024","5,05","4,46","9,00","4,13","484,70K","21,10%"
"01.12.2023","4,17","4,45","4,48","3,93","97,30K","-6,29%"
"01.11.2023","4,45","3,89","4,48","3,78","90,00K","14,40%"
"01.10.2023","3,89","3,94","3,94","3,20","103,20K","-0,26%"
"01.09.2023","3,90","3,28","3,94","3,03","137,40K","17,47%"
"01.08.2023","3,32","4,52","4,55","3,22","120,60K","-22,97%"
"01.07.2023","4,31","4,90","5,04","4,19","101,10K","-11,86%"
"01.06.2023","4,89","5,01","5,30","4,50","73,20K","-2,40%"
"01.05.2023","5,01","4,00","15,00","4,00","27,10K","67,00%"
"01.01.2023","3,00","3,00","3,00","3,00","20,00K","7,14%"
"01.08.2022","2,80","2,51","2,80","2,51","50,00K","12,00%"
