"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,95","12,16","12,61","10,49","879,40K","-1,73%"
"01.03.2024","12,16","12,06","13,07","11,46","1,79M","0,91%"
"01.02.2024","12,05","12,03","13,37","11,79","42,28M","-0,25%"
"01.01.2024","12,08","11,61","12,40","11,13","45,52M","3,96%"
"01.12.2023","11,62","11,02","12,10","10,92","19,65M","4,59%"
"01.11.2023","11,11","10,44","12,25","10,44","36,88M","6,42%"
"01.10.2023","10,44","10,90","11,35","10,03","22,07M","-4,13%"
"01.09.2023","10,89","10,42","11,40","10,24","30,13M","5,32%"
"01.08.2023","10,34","12,22","12,75","10,08","36,40M","-15,66%"
"01.07.2023","12,26","12,47","12,87","11,89","35,83M","-2,31%"
"01.06.2023","12,55","10,67","12,85","10,67","55,56M","18,44%"
"01.05.2023","10,60","9,97","11,87","9,79","56,96M","6,30%"
"01.04.2023","9,97","10,69","11,01","9,65","39,62M","-7,14%"
"01.03.2023","10,73","11,43","11,71","9,98","39,78M","-4,35%"
"01.02.2023","11,22","11,08","13,31","10,20","60,00M","1,41%"
"01.01.2023","11,07","8,75","11,13","8,26","55,64M","26,02%"
"01.12.2022","8,78","8,16","9,03","7,92","39,13M","7,27%"
"01.11.2022","8,19","8,09","8,64","7,80","51,00M","2,05%"
"01.10.2022","8,02","8,63","9,21","7,69","61,60M","-5,91%"
"01.09.2022","8,53","8,69","9,64","8,45","31,33M","-1,78%"
"01.08.2022","8,68","9,56","9,93","8,65","33,06M","-9,28%"
"01.07.2022","9,57","9,04","9,75","8,69","16,37M","5,99%"
"01.06.2022","9,03","9,71","10,04","8,70","23,39M","-7,11%"
"01.05.2022","9,72","9,72","10,08","9,23","35,12M","0,56%"
