"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","0,73","0,65","0,80","0,62","3,08M","10,61%"
"01.03.2024","0,66","1,04","1,06","0,64","21,17M","-36,54%"
"01.02.2024","1,04","0,62","1,58","0,61","691,19M","67,74%"
"01.01.2024","0,62","0,64","0,66","0,59","106,41M","-3,12%"
"01.12.2023","0,64","0,66","0,71","0,62","73,67M","-1,54%"
"01.11.2023","0,65","0,60","0,75","0,59","120,11M","10,17%"
"01.10.2023","0,59","0,61","0,71","0,57","130,90M","-3,28%"
"01.09.2023","0,61","0,70","0,73","0,57","83,99M","-12,86%"
"01.08.2023","0,70","1,02","1,06","0,70","194,60M","-32,04%"
"01.07.2023","1,03","1,05","1,10","1,00","161,33M","-1,90%"
"01.06.2023","1,05","1,01","1,24","1,00","262,45M","5,00%"
"01.05.2023","1,00","1,03","1,19","0,97","168,84M","-1,96%"
"01.04.2023","1,02","1,08","1,21","1,00","171,83M","-4,67%"
"01.03.2023","1,07","2,04","2,12","0,99","555,82M","-47,03%"
"01.02.2023","2,02","2,50","2,56","1,15","725,93M","-16,18%"
"01.01.2023","2,41","1,70","2,54","1,08","555,00M","41,76%"
"01.12.2022","1,70","2,00","2,70","1,70","207,42M","-15,00%"
"01.11.2022","2,00","2,60","2,90","1,50","287,05M","-20,00%"
"01.10.2022","2,50","4,10","4,40","2,10","213,72M","-35,90%"
"01.09.2022","3,90","5,70","5,90","3,70","156,14M","-29,09%"
"01.08.2022","5,50","4,70","7,00","4,70","170,15M","17,02%"
"01.07.2022","4,70","5,60","5,70","4,60","94,76M","-16,07%"
"01.06.2022","5,60","7,30","7,50","4,70","172,04M","-23,29%"
"01.05.2022","7,30","7,90","8,00","6,50","134,57M","-6,41%"
