"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2024","3,99","3,99","3,99","3,99","","0,00%"
"01.04.2024","3,99","4,18","4,37","3,80","1,90K","-4,77%"
"01.03.2024","4,19","4,94","5,06","3,84","16,60K","-15,18%"
"01.02.2024","4,94","5,83","6,29","4,61","220,10K","-15,27%"
"01.01.2024","5,83","4,35","8,00","4,17","1,05M","37,83%"
"01.12.2023","4,23","4,26","4,60","4,07","103,70K","3,68%"
"01.11.2023","4,08","6,50","6,65","3,90","417,10K","-34,30%"
"01.10.2023","6,21","5,14","7,88","5,14","331,30K","19,42%"
"01.09.2023","5,20","4,68","5,30","4,32","93,60K","15,81%"
"01.08.2023","4,49","4,71","4,79","4,25","65,20K","-5,47%"
"01.07.2023","4,75","4,90","5,08","4,54","122,40K","-4,23%"
"01.06.2023","4,96","4,11","5,80","4,00","568,10K","20,98%"
"01.05.2023","4,10","4,40","4,99","3,90","628,20K","-9,09%"
"01.04.2023","4,51","6,93","6,93","4,20","695,50K","-35,57%"
"01.03.2023","7,00","6,01","7,68","5,90","120,60K","16,67%"
"01.02.2023","6,00","5,62","6,76","4,90","388,70K","8,50%"
"01.01.2023","5,53","6,50","6,89","5,44","262,90K","-15,70%"
"01.12.2022","6,56","7,72","7,94","6,20","62,30K","-12,65%"
"01.11.2022","7,51","5,80","8,29","5,70","354,50K","29,71%"
"01.10.2022","5,79","5,95","7,05","5,31","218,70K","-1,19%"
"01.09.2022","5,86","6,29","8,75","5,30","1,09M","-6,98%"
"01.08.2022","6,30","5,04","6,83","4,60","704,20K","24,75%"
"01.07.2022","5,05","5,44","5,61","4,94","52,70K","-6,65%"
"01.06.2022","5,41","6,95","7,37","5,40","159,20K","-22,05%"
"01.05.2022","6,94","6,40","7,95","5,61","439,60K","8,44%"
