"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,93","2,99","3,03","2,36","16,00M","-1,01%"
"01.03.2024","2,96","4,00","4,06","2,94","25,19M","-26,55%"
"01.02.2024","4,03","3,96","4,46","3,50","193,87M","3,07%"
"01.01.2024","3,91","4,08","5,56","3,67","272,19M","-3,69%"
"01.12.2023","4,06","3,37","4,34","3,34","187,22M","21,19%"
"01.11.2023","3,35","3,60","4,02","3,32","132,24M","-7,46%"
"01.10.2023","3,62","3,53","4,06","3,15","205,36M","3,43%"
"01.09.2023","3,50","5,01","5,12","3,21","190,12M","-29,15%"
"01.08.2023","4,94","5,91","6,98","4,93","141,73M","-16,97%"
"01.07.2023","5,95","5,38","6,70","5,27","64,65M","10,59%"
"01.06.2023","5,38","4,68","5,45","4,47","58,99M","14,96%"
"01.05.2023","4,68","4,32","5,13","3,98","56,24M","8,58%"
"01.04.2023","4,31","4,22","4,69","4,03","52,49M","1,65%"
"01.03.2023","4,24","4,46","4,52","3,84","77,75M","-5,15%"
"01.02.2023","4,47","5,99","6,05","4,32","93,55M","-25,00%"
"01.01.2023","5,96","4,77","6,03","4,53","73,14M","25,47%"
"01.12.2022","4,75","5,95","6,00","4,67","57,80M","-20,44%"
"01.11.2022","5,97","6,33","6,56","5,05","62,63M","-5,84%"
"01.10.2022","6,34","5,74","6,39","5,54","45,51M","13,62%"
"01.09.2022","5,58","6,24","7,02","5,49","81,81M","-10,58%"
"01.08.2022","6,24","4,68","6,27","4,43","67,81M","33,05%"
"01.07.2022","4,69","4,68","5,21","4,27","55,19M","-0,21%"
"01.06.2022","4,70","5,81","5,99","4,62","53,42M","-19,24%"
"01.05.2022","5,82","5,85","6,60","5,71","46,76M","-0,51%"
