"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","0,21","0,36","0,37","0,20","2,55M","-36,36%"
"01.03.2024","0,33","0,31","0,35","0,27","1,69M","6,45%"
"01.02.2024","0,31","0,37","0,38","0,30","39,26M","-16,22%"
"01.01.2024","0,37","0,45","0,49","0,37","80,85M","-17,78%"
"01.12.2023","0,45","2,23","2,30","0,32","270,17M","-79,64%"
"01.11.2023","2,21","2,39","3,28","2,21","5,59M","-7,92%"
"01.10.2023","2,40","4,06","4,35","2,32","2,79M","-41,46%"
"01.09.2023","4,10","4,15","4,59","3,90","1,33M","-0,49%"
"01.08.2023","4,12","5,65","6,40","4,12","2,30M","-27,08%"
"01.07.2023","5,65","6,15","6,54","4,89","1,94M","-8,13%"
"01.06.2023","6,15","5,16","6,68","5,07","3,62M","19,42%"
"01.05.2023","5,15","5,37","7,38","4,42","5,58M","-3,92%"
"01.04.2023","5,36","4,25","6,30","3,09","4,12M","25,53%"
"01.03.2023","4,27","10,00","11,00","4,16","4,03M","-57,30%"
"01.02.2023","10,00","14,00","14,00","9,00","1,03M","-28,57%"
"01.01.2023","14,00","11,00","24,00","11,00","5,77M","16,67%"
"01.12.2022","12,00","17,00","21,00","10,00","4,23M","-29,41%"
"01.11.2022","17,00","56,00","73,00","17,00","1,32M","-69,09%"
"01.10.2022","55,00","71,00","75,00","52,00","140,25K","-21,43%"
"01.09.2022","70,00","86,00","91,00","67,00","169,24K","-18,60%"
"01.08.2022","86,00","85,00","115,00","85,00","247,44K","1,18%"
"01.07.2022","85,00","92,00","103,00","83,00","98,22K","-6,59%"
"01.06.2022","91,00","130,00","138,00","90,00","94,46K","-30,00%"
"01.05.2022","130,00","142,00","159,00","124,00","172,21K","-5,80%"
