"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,26","2,65","2,68","2,24","21,10K","-14,72%"
"01.03.2024","2,65","3,59","3,83","2,50","117,20K","-27,20%"
"01.02.2024","3,64","3,23","3,94","2,93","2,09M","13,75%"
"01.01.2024","3,20","3,10","3,38","2,93","1,25M","3,56%"
"01.12.2023","3,09","3,30","3,38","2,95","1,98M","-7,76%"
"01.11.2023","3,35","2,33","3,43","2,25","2,40M","46,93%"
"01.10.2023","2,28","2,55","2,73","2,23","1,16M","-10,24%"
"01.09.2023","2,54","2,48","2,85","2,26","2,45M","3,67%"
"01.08.2023","2,45","2,69","3,17","2,36","4,86M","-6,49%"
"01.07.2023","2,62","2,71","2,74","2,16","8,63M","-4,03%"
"01.06.2023","2,73","2,33","3,76","2,32","2,59M","18,70%"
"01.05.2023","2,30","2,23","2,75","2,16","587,20K","2,22%"
"01.04.2023","2,25","2,26","2,31","2,03","486,90K","0,00%"
"01.03.2023","2,25","2,47","2,70","2,11","595,40K","-8,54%"
"01.02.2023","2,46","3,06","3,16","2,25","620,10K","-18,81%"
"01.01.2023","3,03","3,03","3,30","2,95","638,80K","-0,98%"
"01.12.2022","3,06","3,31","3,57","2,86","636,80K","-8,11%"
"01.11.2022","3,33","3,73","3,85","3,18","915,00K","-7,50%"
"01.10.2022","3,60","3,22","4,53","3,20","1,59M","11,80%"
"01.09.2022","3,22","3,67","3,93","2,91","1,37M","-12,02%"
"01.08.2022","3,66","3,84","3,98","3,30","1,51M","-2,92%"
"01.07.2022","3,77","2,84","3,87","2,74","1,19M","32,28%"
"01.06.2022","2,85","3,70","3,89","2,85","1,42M","-25,00%"
"01.05.2022","3,80","4,50","4,58","3,58","1,72M","-15,93%"
