"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","42,02","37,53","42,42","37,20","31,68M","12,47%"
"01.03.2024","37,36","40,35","40,93","35,10","38,80M","-6,93%"
"01.02.2024","40,14","40,78","42,94","39,83","716,54M","-0,77%"
"01.01.2024","40,45","37,44","41,24","37,23","719,54M","8,62%"
"01.12.2023","37,24","35,72","37,43","33,04","753,47M","3,70%"
"01.11.2023","35,91","33,73","36,03","32,66","992,20M","3,37%"
"01.10.2023","34,74","34,55","38,86","32,29","1,18B","0,29%"
"01.09.2023","34,64","32,21","34,71","31,96","889,76M","8,45%"
"01.08.2023","31,94","29,95","32,79","28,63","1,23B","2,67%"
"01.07.2023","31,11","29,72","31,22","27,95","967,22M","5,35%"
"01.06.2023","29,53","24,68","32,00","24,55","1,46B","20,46%"
"01.05.2023","24,51","22,24","25,37","21,04","1,44B","10,21%"
"01.04.2023","22,24","20,23","23,20","19,54","1,13B","12,95%"
"01.03.2023","19,69","21,26","22,03","18,88","1,49B","-7,09%"
"01.02.2023","21,20","21,89","22,73","20,51","1,12B","-3,18%"
"01.01.2023","21,89","19,77","23,18","18,33","1,48B","6,41%"
"01.12.2022","20,58","22,32","22,50","17,44","1,75B","-8,10%"
"01.11.2022","22,39","22,46","22,70","18,73","2,27B","2,22%"
"01.10.2022","21,90","23,45","28,21","21,43","2,22B","0,03%"
"01.09.2022","21,90","24,51","25,40","21,00","1,67B","-10,32%"
"01.08.2022","24,42","20,34","25,78","19,88","2,02B","19,50%"
"01.07.2022","20,43","16,80","20,74","16,10","1,30B","22,27%"
"01.06.2022","16,71","17,89","18,73","15,50","1,44B","-7,09%"
"01.05.2022","17,99","16,20","19,50","15,75","2,00B","10,63%"
