"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,71","4,39","5,53","3,44","22,69M","8,28%"
"01.03.2024","4,35","4,17","5,05","3,73","38,47M","4,32%"
"01.02.2024","4,17","3,29","4,25","3,03","285,89M","27,13%"
"01.01.2024","3,28","3,94","3,94","3,18","317,96M","-16,96%"
"01.12.2023","3,95","4,15","4,73","3,72","280,13M","-4,36%"
"01.11.2023","4,13","3,58","4,39","3,47","243,37M","16,01%"
"01.10.2023","3,56","4,69","4,73","3,45","249,73M","-24,58%"
"01.09.2023","4,72","5,49","5,98","4,51","262,51M","-13,87%"
"01.08.2023","5,48","6,95","7,33","4,98","547,12M","-21,71%"
"01.07.2023","7,00","6,64","7,44","6,04","261,60M","6,38%"
"01.06.2023","6,58","7,30","7,97","6,12","238,15M","-9,24%"
"01.05.2023","7,25","6,12","8,00","5,65","242,94M","17,50%"
"01.04.2023","6,17","6,19","6,44","5,49","188,46M","-0,32%"
"01.03.2023","6,19","6,48","7,13","5,69","263,47M","-3,88%"
"01.02.2023","6,44","7,23","7,85","6,22","225,32M","-10,91%"
"01.01.2023","7,23","6,18","7,26","5,58","264,14M","15,65%"
"01.12.2022","6,25","7,27","7,34","5,76","305,61M","-14,93%"
"01.11.2022","7,35","8,83","9,18","7,02","295,54M","-15,87%"
"01.10.2022","8,73","10,46","11,19","7,88","275,74M","-13,86%"
"01.09.2022","10,14","10,78","11,15","9,43","236,87M","-6,09%"
"01.08.2022","10,79","9,67","12,32","9,36","324,54M","11,88%"
"01.07.2022","9,65","9,95","11,04","8,80","205,53M","-2,52%"
"01.06.2022","9,90","12,10","13,15","9,71","187,37M","-18,09%"
"01.05.2022","12,08","15,16","16,33","11,40","276,94M","-20,35%"
