"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","5,76","5,69","6,33","5,13","376,60K","-0,52%"
"01.03.2024","5,79","5,89","5,92","5,09","186,50K","-0,86%"
"01.02.2024","5,84","4,69","5,89","4,41","4,81M","22,43%"
"01.01.2024","4,77","5,80","5,80","4,51","7,45M","-21,80%"
"01.12.2023","6,10","5,29","6,15","5,04","6,78M","12,55%"
"01.11.2023","5,42","3,51","5,62","3,51","7,90M","52,68%"
"01.10.2023","3,55","3,89","3,94","3,40","2,25M","-8,74%"
"01.09.2023","3,89","4,00","4,09","3,57","2,81M","-2,26%"
"01.08.2023","3,98","3,95","4,50","3,62","2,47M","1,02%"
"01.07.2023","3,94","3,94","4,02","3,73","2,66M","0,00%"
"01.06.2023","3,94","3,45","4,15","3,39","2,95M","14,20%"
"01.05.2023","3,45","3,21","3,48","3,08","3,16M","7,48%"
"01.04.2023","3,21","3,26","3,30","2,97","2,40M","-1,83%"
"01.03.2023","3,27","3,43","3,46","2,92","3,46M","-6,57%"
"01.02.2023","3,50","3,75","3,78","3,15","2,42M","-6,91%"
"01.01.2023","3,76","3,63","3,96","3,23","4,17M","2,45%"
"01.12.2022","3,67","3,46","3,83","3,02","3,81M","4,91%"
"01.11.2022","3,50","3,77","3,89","3,07","5,50M","-8,00%"
"01.10.2022","3,80","3,84","4,18","3,53","5,07M","-0,74%"
"01.09.2022","3,83","3,56","4,14","3,44","5,10M","8,04%"
"01.08.2022","3,55","3,13","3,79","3,04","5,28M","14,07%"
"01.07.2022","3,11","3,21","3,36","2,89","3,03M","-6,03%"
"01.06.2022","3,31","3,57","3,61","3,04","2,43M","-9,14%"
"01.05.2022","3,64","3,76","3,80","3,25","2,88M","-4,01%"
