"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,53","2,77","2,77","2,40","674,50K","-6,64%"
"01.03.2024","2,71","2,92","3,15","2,68","978,10K","-8,45%"
"01.02.2024","2,96","3,16","3,16","2,79","27,50M","-6,33%"
"01.01.2024","3,16","3,58","3,58","2,96","44,84M","-20,20%"
"01.12.2023","3,96","3,39","4,02","3,30","20,74M","16,47%"
"01.11.2023","3,40","3,01","3,72","3,00","21,06M","13,33%"
"01.10.2023","3,00","2,92","3,43","2,72","17,67M","2,74%"
"01.09.2023","2,92","3,86","4,05","2,73","23,91M","-24,35%"
"01.08.2023","3,86","4,15","4,67","3,80","20,88M","-6,99%"
"01.07.2023","4,15","3,99","4,29","3,69","19,37M","4,27%"
"01.06.2023","3,98","3,32","4,30","3,30","22,09M","19,52%"
"01.05.2023","3,33","2,90","3,37","2,77","27,39M","15,22%"
"01.04.2023","2,89","3,05","3,23","2,50","26,62M","-5,25%"
"01.03.2023","3,05","3,44","3,66","2,82","21,89M","-11,34%"
"01.02.2023","3,44","4,08","4,19","3,39","10,70M","-16,50%"
"01.01.2023","4,12","4,06","4,44","3,79","17,34M","0,73%"
"01.12.2022","4,09","4,28","4,28","3,37","14,25M","-4,44%"
"01.11.2022","4,28","5,84","6,01","3,93","15,55M","-26,08%"
"01.10.2022","5,79","5,44","6,09","5,28","13,08M","10,08%"
"01.09.2022","5,26","4,77","5,58","4,34","25,89M","10,74%"
"01.08.2022","4,75","4,19","5,20","4,13","41,60M","13,37%"
"01.07.2022","4,19","4,05","4,63","3,71","21,48M","3,20%"
"01.06.2022","4,06","6,22","6,28","3,95","17,93M","-35,14%"
"01.05.2022","6,26","7,57","7,60","5,80","24,00M","-17,41%"
