"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,83","3,38","3,42","2,60","61,20K","-16,27%"
"01.03.2024","3,38","3,76","3,84","3,25","58,10K","-9,14%"
"01.02.2024","3,72","4,05","4,10","3,60","558,10K","-8,37%"
"01.01.2024","4,06","4,34","4,40","4,01","461,80K","-6,45%"
"01.12.2023","4,34","4,26","4,49","4,19","455,20K","2,12%"
"01.11.2023","4,25","4,10","4,59","4,02","495,20K","3,41%"
"01.10.2023","4,11","4,86","4,91","4,08","421,40K","-15,43%"
"01.09.2023","4,86","5,00","5,28","4,85","335,60K","-2,80%"
"01.08.2023","5,00","5,68","5,89","4,89","692,50K","-12,28%"
"01.07.2023","5,70","4,62","6,07","4,57","1,21M","24,73%"
"01.06.2023","4,57","4,42","5,14","4,37","869,10K","3,39%"
"01.05.2023","4,42","3,82","4,76","3,71","763,80K","15,71%"
"01.04.2023","3,82","3,40","4,07","3,25","1,12M","13,02%"
"01.03.2023","3,38","5,00","5,17","3,25","1,35M","-32,40%"
"01.02.2023","5,00","5,45","5,50","4,50","746,80K","-8,26%"
"01.01.2023","5,45","4,67","6,05","4,60","1,64M","16,95%"
"01.12.2022","4,66","5,50","5,50","3,71","5,86M","-21,94%"
"01.11.2022","5,97","5,97","6,62","5,81","1,05M","0,84%"
"01.10.2022","5,92","6,10","6,31","5,81","1,32M","-2,79%"
"01.09.2022","6,09","7,51","7,61","5,79","3,67M","-19,12%"
"01.08.2022","7,53","7,95","9,10","7,45","1,84M","-4,56%"
"01.07.2022","7,89","5,70","8,10","5,70","1,52M","37,70%"
"01.06.2022","5,73","6,95","7,18","5,73","1,45M","-16,59%"
"01.05.2022","6,87","8,01","8,06","6,40","2,33M","-11,70%"
