"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,23","12,00","12,96","10,77","191,00K","-7,11%"
"01.03.2024","12,09","12,24","12,57","11,57","409,90K","-1,23%"
"01.02.2024","12,24","12,46","12,47","10,94","7,39M","-1,84%"
"01.01.2024","12,47","13,36","13,36","11,78","8,10M","-6,66%"
"01.12.2023","13,36","12,27","13,36","11,68","8,42M","6,88%"
"01.11.2023","12,50","10,57","12,50","10,30","7,28M","18,26%"
"01.10.2023","10,57","11,70","11,77","10,32","6,09M","-9,66%"
"01.09.2023","11,70","12,13","12,98","11,29","6,76M","-4,41%"
"01.08.2023","12,24","13,16","13,85","11,98","10,41M","-7,34%"
"01.07.2023","13,21","12,80","13,41","12,51","9,11M","3,20%"
"01.06.2023","12,80","11,75","12,80","11,49","9,45M","9,97%"
"01.05.2023","11,64","10,22","12,06","10,10","8,80M","12,14%"
"01.04.2023","10,38","9,76","10,38","9,27","9,04M","7,68%"
"01.03.2023","9,64","10,40","10,55","8,82","11,42M","-7,13%"
"01.02.2023","10,38","10,27","10,89","9,71","10,23M","1,07%"
"01.01.2023","10,27","10,11","10,70","9,50","8,13M","1,28%"
"01.12.2022","10,14","10,30","10,64","8,98","9,90M","-1,87%"
"01.11.2022","10,33","12,50","13,23","9,89","10,63M","-16,00%"
"01.10.2022","12,30","11,88","12,48","11,32","9,29M","6,29%"
"01.09.2022","11,57","12,19","12,46","11,28","10,05M","-4,85%"
"01.08.2022","12,16","10,70","13,43","10,64","13,98M","13,06%"
"01.07.2022","10,76","9,42","11,08","8,77","11,39M","14,49%"
"01.06.2022","9,40","11,27","11,60","8,97","12,97M","-16,83%"
"01.05.2022","11,30","11,37","12,03","10,15","15,06M","-0,35%"
