"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,59","7,57","7,78","6,59","4,82M","-12,60%"
"01.03.2024","7,54","8,59","8,79","6,93","44,48M","5,90%"
"01.02.2024","7,12","6,47","7,23","6,38","194,92M","9,71%"
"01.01.2024","6,49","5,67","6,53","5,67","188,14M","13,46%"
"01.12.2023","5,72","4,88","5,84","4,79","190,04M","19,92%"
"01.11.2023","4,77","4,31","5,03","4,20","161,82M","13,84%"
"01.10.2023","4,19","4,58","4,63","4,10","133,76M","-8,91%"
"01.09.2023","4,60","4,88","5,18","4,40","113,36M","-3,97%"
"01.08.2023","4,79","4,12","5,13","4,08","188,84M","15,98%"
"01.07.2023","4,13","4,06","4,36","3,77","154,90M","1,72%"
"01.06.2023","4,06","3,59","4,26","3,49","207,10M","12,78%"
"01.05.2023","3,60","2,82","3,74","2,77","326,49M","28,57%"
"01.04.2023","2,80","2,51","2,80","2,43","132,67M","12,90%"
"01.03.2023","2,48","2,42","2,76","2,31","185,70M","3,33%"
"01.02.2023","2,40","2,29","2,50","2,27","103,28M","4,80%"
"01.01.2023","2,29","2,14","2,37","2,02","108,76M","6,51%"
"01.12.2022","2,15","1,77","2,16","1,56","139,19M","21,47%"
"01.11.2022","1,77","2,09","2,15","1,66","174,46M","-14,49%"
"01.10.2022","2,07","2,08","2,14","1,89","128,09M","-0,48%"
"01.09.2022","2,08","1,89","2,11","1,81","140,05M","10,64%"
"01.08.2022","1,88","1,78","1,95","1,68","137,00M","6,21%"
"01.07.2022","1,77","1,76","1,91","1,72","77,10M","0,00%"
"01.06.2022","1,77","2,06","2,10","1,76","74,24M","-14,08%"
"01.05.2022","2,06","1,93","2,13","1,86","119,38M","7,29%"
