"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","16,80","17,80","17,81","16,47","17,50M","-6,09%"
"01.03.2024","17,89","17,31","18,44","17,16","8,43M","3,71%"
"01.02.2024","17,25","16,95","17,28","16,40","7,33M","2,37%"
"01.01.2024","16,85","17,22","17,90","16,15","7,11M","-3,49%"
"01.12.2023","17,46","15,60","17,46","15,48","4,26M","12,79%"
"01.11.2023","15,48","13,53","15,69","13,42","5,17M","14,92%"
"01.10.2023","13,47","13,68","14,27","13,28","7,04M","-3,79%"
"01.09.2023","14,00","12,70","14,00","12,44","7,49M","11,55%"
"01.08.2023","12,55","13,32","13,51","12,54","9,62M","-5,21%"
"01.07.2023","13,24","13,50","13,50","12,76","7,88M","-1,93%"
"01.06.2023","13,50","10,85","13,98","10,47","10,77M","24,20%"
"01.05.2023","10,87","10,00","10,98","9,81","7,98M","8,70%"
"01.04.2023","10,00","9,40","10,02","9,23","5,66M","3,95%"
"01.03.2023","9,62","10,15","10,50","9,62","4,80M","-5,87%"
"01.02.2023","10,22","10,55","10,61","9,70","3,91M","-0,78%"
"01.01.2023","10,30","10,82","11,02","10,25","5,30M","-4,72%"
"01.12.2022","10,81","10,40","11,00","9,65","6,89M","1,50%"
"01.11.2022","10,65","11,41","11,58","10,25","5,69M","-6,17%"
"01.10.2022","11,35","9,77","11,40","9,48","7,79M","20,11%"
"01.09.2022","9,45","8,88","10,20","8,64","18,43M","6,78%"
"01.08.2022","8,85","8,31","9,39","8,16","15,58M","6,50%"
"01.07.2022","8,31","7,86","8,46","7,20","6,45M","6,54%"
"01.06.2022","7,80","8,67","9,11","7,67","10,35M","-9,20%"
"01.05.2022","8,59","56,39","56,60","8,59","10,75M","-7,63%"
